Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Mode 1,0.6062,-0.08,4,0.2625757213575376,0.28213800845164994,0.34082486973398707
g1,Current,Mode 1,0.6062,-0.08,4,0.2649350902696493,0.28560103081128174,0.3475988524361791
g1,Reactive Power,Mode 1,0.6062,-0.08,7,0.2805025368698615,0.34392496181680776,0.4856872738930889
g1,Reactive Power,Mode 4,1.1211,-0.3373,1,0.19765590039625952,0.19765590039625952,0.19765590039625952
g1,Voltage,Mode 1,0.6062,-0.08,3,0.25678616752677835,0.25678616752677835,0.25678616752677835
g10,Active Power,Mode 3,1.0312,-0.2558,1,0.2470666492615646,0.2470666492615646,0.2470666492615646
g10,Current,Mode 1,0.6062,-0.08,7,0.3133358202230219,0.36698020441676216,0.4994685934646285
g10,Current,Mode 4,1.1211,-0.3373,2,0.1153362474875731,0.1153362474875731,0.11962381093273232
g10,Reactive Power,Mode 1,0.6062,-0.08,7,0.45826670563081334,0.38497864617624894,0.4971786216810123
g10,Reactive Power,Mode 4,1.1211,-0.3373,1,0.19682781214313425,0.19682781214313425,0.19682781214313425
g10,Voltage,Mode 1,0.6062,-0.08,10,0.4972629924464501,0.3967153130878771,0.5104107134435433
g10,Voltage,Mode 4,1.1211,-0.3373,1,0.19472950474083212,0.19472950474083212,0.19472950474083212
g2,Active Power,Mode 1,0.6062,-0.08,4,0.4099213604144658,0.4009195488449543,0.5228262476929526
g2,Active Power,Mode 3,1.0312,-0.2558,1,0.09651957288421284,0.09651957288421284,0.09651957288421284
g2,Active Power,Mode 4,1.1211,-0.3373,1,0.1699501858400341,0.1699501858400341,0.1699501858400341
g2,Current,Mode 1,0.6062,-0.08,5,0.3146540327429137,0.33381346664086464,0.4691328187208624
g2,Current,Mode 3,1.0312,-0.2558,1,0.0854877485386194,0.0854877485386194,0.0854877485386194
g2,Current,Mode 4,1.1211,-0.3373,2,0.17010244987527334,0.17010244987527334,0.17405139291276767
g2,Reactive Power,Mode 1,0.6062,-0.08,3,0.221601902816838,0.2197603597452956,0.221601902816838
g2,Voltage,Mode 1,0.6062,-0.08,10,0.44029989351122745,0.48806426184671137,0.6886232774638653
g2,Voltage,Mode 4,1.1211,-0.3373,2,0.11269322756496086,0.11269322756496086,0.18303386467067823
g3,Active Power,Mode 1,0.6062,-0.08,5,0.35775968936836905,0.3512603776341162,0.4285370550401218
g3,Active Power,Mode 3,1.0312,-0.2558,1,0.09152945028405489,0.09152945028405489,0.09152945028405489
g3,Active Power,Mode 4,1.1211,-0.3373,1,0.17840044093199206,0.17840044093199206,0.17840044093199206
g3,Current,Mode 1,0.6062,-0.08,5,0.32325716832755574,0.29603557922825496,0.33229704892749523
g3,Current,Mode 3,1.0312,-0.2558,1,0.08275880943348027,0.08275880943348027,0.08275880943348027
