Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,4,0.2653280194186848,0.29996219755888776,0.5033661683259144
Order 2,Mode 3,1.0312,-0.2558,1,0.41298231666153756,0.41298231666153756,0.41298231666153756
Order 4,Mode 1,0.6062,-0.08,33,0.34074264870415577,0.3567329106449579,0.7198376513645686
Order 4,Mode 2,0.9497,-0.1065,1,0.21303191099771343,0.21303191099771343,0.21303191099771343
Order 4,Mode 3,1.0312,-0.2558,1,0.3018479990493307,0.3018479990493307,0.3018479990493307
Order 6,Mode 1,0.6062,-0.08,46,0.3015062718666124,0.33608043010671196,0.6886232774638653
Order 6,Mode 3,1.0312,-0.2558,3,0.21541234228273493,0.2162053831854196,0.2470666492615646
Order 6,Mode 4,1.1211,-0.3373,1,0.14948053109905846,0.14948053109905846,0.14948053109905846
Tau 0.01,Mode 1,0.6062,-0.08,60,0.26348214945831794,0.34241481034135646,0.7599065165856008
Tau 0.01,Mode 3,1.0312,-0.2558,5,0.0854877485386194,0.08678919643707379,0.09651957288421284
Tau 0.01,Mode 4,1.1211,-0.3373,32,0.19577865844198317,0.2355483360682176,0.42820637227946623
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.2739522031670752,0.2739522031670752,0.2739522031670752
Tau 0.1,Mode 1,0.6062,-0.08,47,0.26411415218813256,0.33502382013281456,0.7440953004340385
Tau 0.1,Mode 4,1.1211,-0.3373,14,0.38140201380880584,0.3105318445960696,0.463440781201252
Tau 1,Mode 1,0.6062,-0.08,30,0.34524180869324733,0.36999903655713134,0.7198376513645686
Tau 1,Mode 3,1.0312,-0.2558,1,0.34288265672991886,0.34288265672991886,0.34288265672991886
Tau 1,Mode 4,1.1211,-0.3373,1,0.14948053109905846,0.14948053109905846,0.14948053109905846
