Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.2610733602895146,0.2610733602895146,0.3346253748535153
Order 4,Mode 1,0.6062,-0.08,5,0.30767738373425363,0.34615048282410954,0.5029769240417407
Order 6,Mode 1,0.6062,-0.08,10,0.35496605542233683,0.3774689416160725,0.6870730414957392
Tau 0.01,Mode 1,0.6062,-0.08,13,0.28800549263333114,0.3888065351322173,0.7357764952215832
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.12949007251366793,0.12478655488652325,0.14467105154807058
Tau 0.01,Mode 4,1.1211,-0.3373,5,0.18050043647666567,0.1933174545805393,0.25879144429716355
Tau 0.1,Mode 1,0.6062,-0.08,10,0.268577151136585,0.3315462618674051,0.6870730414957392
Tau 0.1,Mode 4,1.1211,-0.3373,4,0.17908257372831116,0.1790208455212721,0.18064885864319039
Tau 1,Mode 1,0.6062,-0.08,6,0.2514658286120344,0.31619149160904997,0.6870730414957392
Tau 1,Mode 4,1.1211,-0.3373,2,0.24577626230106697,0.24577626230106697,0.2510948006793216
