Gen,Signal,Method,R2,RMSE,Poles
g1,Voltage,Order 2,0.9541793915065536,1.9372329273450293e-05,1
g1,Voltage,Order 4,0.978983130492654,1.3120048180910941e-05,2
g1,Voltage,Order 6,-1.4917197063199419,0.00014285683020613042,3
g1,Voltage,Tau 1,0.9373549703100815,2.265138312293357e-05,2
g1,Voltage,Tau 0.1,-1.4917197063199419,0.00014285683020613042,3
g1,Voltage,Tau 0.01,-1.4917197063199419,0.00014285683020613042,3
g1,Current,Order 2,0.7740533370352038,0.0001002865051908281,1
g1,Current,Order 4,0.8542164216340633,8.055524715066168e-05,2
g1,Current,Order 6,0.9998217957556502,2.816427350787643e-06,3
g1,Current,Tau 1,0.9166064176712002,6.092644616233816e-05,3
g1,Current,Tau 0.1,0.9998217957556502,2.816427350787643e-06,3
g1,Current,Tau 0.01,0.9998217957556502,2.816427350787643e-06,3
g1,Active Power,Order 2,0.7515277640463305,1.1291096038529125,1
g1,Active Power,Order 4,0.8388458267082627,0.909322517488679,2
g1,Active Power,Order 6,0.9976257425332383,0.11037254927448488,3
g1,Active Power,Tau 1,0.22879944420484577,1.989210918124937,4
g1,Active Power,Tau 0.1,0.9976257425332383,0.11037254927448488,3
g1,Active Power,Tau 0.01,0.9976257425332383,0.11037254927448488,3
g1,Reactive Power,Order 2,-0.0007261429577458678,0.21008165789190453,1
g1,Reactive Power,Order 4,0.8272307390609953,0.08728985077883428,2
g1,Reactive Power,Order 6,0.979405966907068,0.03013708315898619,3
g1,Reactive Power,Tau 1,0.979405966907068,0.03013708315898619,3
g1,Reactive Power,Tau 0.1,0.9860400269069893,0.024812630254277834,3
g1,Reactive Power,Tau 0.01,0.9739486028505954,0.033895810514129494,6
g2,Voltage,Order 2,0.6970652182629204,2.3659583014617007e-05,1
g2,Voltage,Order 4,0.6955036290171844,2.3720485659815068e-05,2
g2,Voltage,Order 6,0.9925905308475751,3.7002073652848607e-06,3
g2,Voltage,Tau 1,0.9925905308475751,3.7002073652848607e-06,3
g2,Voltage,Tau 0.1,0.9925905308475751,3.7002073652848607e-06,3
g2,Voltage,Tau 0.01,0.9695762196744573,7.497890686139156e-06,4
g2,Current,Order 2,0.7838163581285784,0.00016269632484518,1
g2,Current,Order 4,0.8139434489291738,0.0001509346011500402,2
g2,Current,Order 6,0.9795419350752128,5.00493687888047e-05,3
g2,Current,Tau 1,0.7838163581285784,0.00016269632484518,1
g2,Current,Tau 0.1,-6.375306868604244,0.0009502904741238567,4
g2,Current,Tau 0.01,-6.375306868604244,0.0009502904741238567,4
g2,Active Power,Order 2,0.8000627744029014,0.08812420369623751,1
g2,Active Power,Order 4,0.6538204306171724,0.11595756624285945,2
g2,Active Power,Order 6,-0.34855296805478053,0.228866579824695,4
g2,Active Power,Tau 1,-0.0034605223989692124,0.19742335166208475,2
g2,Active Power,Tau 0.1,-3.3139469373428803,0.4093414978679728,4
g2,Active Power,Tau 0.01,-3.3139469373428803,0.4093414978679728,4
g2,Reactive Power,Order 2,0.8962175686059521,0.05146246072611694,1
g2,Reactive Power,Order 4,0.9734098313853305,0.026048887115464672,2
g2,Reactive Power,Order 6,0.9903845888186051,0.015664356493141008,3
g2,Reactive Power,Tau 1,0.9734098313853305,0.026048887115464672,2
g2,Reactive Power,Tau 0.1,0.9903845888186051,0.015664356493141008,3
g2,Reactive Power,Tau 0.01,-6.8644658009544735,0.44798476225011535,4
g3,Voltage,Order 2,0.8206688969653264,1.8966699617861502e-05,1
g3,Voltage,Order 4,0.9458176705578727,1.0425401576787188e-05,2
g3,Voltage,Order 6,0.9764119707117044,6.878754112723178e-06,3
g3,Voltage,Tau 1,0.8206688969653264,1.8966699617861502e-05,1
g3,Voltage,Tau 0.1,0.30273268061990277,3.739931187765247e-05,4
g3,Voltage,Tau 0.01,0.30273268061990277,3.739931187765247e-05,4
