Matrix column index,Model name,State variable
85,Grid\Power Plant 07\AVR 07.ElmDsl,"""xe"""
86,Grid\Power Plant 07\AVR 07.ElmDsl,"""xf"""
87,Grid\Power Plant 07\AVR 07.ElmDsl,"""xr"""
88,Grid\Power Plant 07\GOV 07.ElmDsl,"""x0"""
89,Grid\Power Plant 07\GOV 07.ElmDsl,"""x1"""
90,Grid\Power Plant 07\GOV 07.ElmDsl,"""x2"""
91,Grid\Power Plant 07\GOV 07.ElmDsl,"""x3"""
92,Grid\Power Plant 07\GOV 07.ElmDsl,"""x4"""
93,Grid\Power Plant 07\GOV 07.ElmDsl,"""x5"""
94,Grid\Power Plant 08\AVR 08.ElmDsl,"""xa"""
95,Grid\Power Plant 08\AVR 08.ElmDsl,"""xe"""
96,Grid\Power Plant 08\AVR 08.ElmDsl,"""xf"""
97,Grid\Power Plant 08\AVR 08.ElmDsl,"""xr"""
98,Grid\Power Plant 08\GOV 08.ElmDsl,"""x0"""
99,Grid\Power Plant 08\GOV 08.ElmDsl,"""x1"""
100,Grid\Power Plant 08\GOV 08.ElmDsl,"""x2"""
101,Grid\Power Plant 08\GOV 08.ElmDsl,"""x3"""
102,Grid\Power Plant 08\GOV 08.ElmDsl,"""x4"""
103,Grid\Power Plant 08\GOV 08.ElmDsl,"""x5"""
104,Grid\Power Plant 09\AVR 09.ElmDsl,"""xa"""
105,Grid\Power Plant 09\AVR 09.ElmDsl,"""xe"""
106,Grid\Power Plant 09\AVR 09.ElmDsl,"""xf"""
107,Grid\Power Plant 09\AVR 09.ElmDsl,"""xr"""
108,Grid\Power Plant 09\GOV 09.ElmDsl,"""x0"""
109,Grid\Power Plant 09\GOV 09.ElmDsl,"""x1"""
110,Grid\Power Plant 09\GOV 09.ElmDsl,"""x2"""
111,Grid\Power Plant 09\GOV 09.ElmDsl,"""x3"""
112,Grid\Power Plant 09\GOV 09.ElmDsl,"""x4"""
113,Grid\Power Plant 09\GOV 09.ElmDsl,"""x5"""
114,Grid\Power Plant 10\AVR 10.ElmDsl,"""xa"""
115,Grid\Power Plant 10\AVR 10.ElmDsl,"""xe"""
116,Grid\Power Plant 10\AVR 10.ElmDsl,"""xf"""
117,Grid\Power Plant 10\AVR 10.ElmDsl,"""xr"""
118,Grid\Power Plant 10\GOV 10.ElmDsl,"""x"""
119,Grid\Power Plant 10\GOV 10.ElmDsl,"""x1"""
120,Grid\Power Plant 10\GOV 10.ElmDsl,"""xp"""
121,Grid\Power Plant 10\GOV 10.ElmDsl,"""xr"""
122,Grid\DFIG_2.5MW.ElmAsm,"""speed"""
123,Grid\DFIG_2.5MW.ElmAsm,"""cosphiu"""
124,Grid\DFIG_2.5MW.ElmAsm,"""sinphiu"""
125,Grid\DFIG_2.5MW.ElmAsm,"""phim"""
126,Grid\DFIG_2.5MW(1).ElmAsm,"""speed"""
127,Grid\DFIG_2.5MW(1).ElmAsm,"""cosphiu"""
128,Grid\DFIG_2.5MW(1).ElmAsm,"""sinphiu"""
129,Grid\DFIG_2.5MW(1).ElmAsm,"""phim"""
130,Grid\DFIG_2.5MW(2).ElmAsm,"""speed"""
131,Grid\DFIG_2.5MW(2).ElmAsm,"""cosphiu"""
132,Grid\DFIG_2.5MW(2).ElmAsm,"""sinphiu"""
133,Grid\DFIG_2.5MW(2).ElmAsm,"""phim"""
134,Grid\Load 03.ElmLod,"""xu"""
135,Grid\Load 04.ElmLod,"""xu"""
136,Grid\Load 07.ElmLod,"""xu"""
137,Grid\Load 08.ElmLod,"""xu"""
138,Grid\Load 12.ElmLod,"""xu"""
139,Grid\Load 15.ElmLod,"""xu"""
140,Grid\Load 16.ElmLod,"""xu"""
141,Grid\Load 18.ElmLod,"""xu"""
142,Grid\Load 20.ElmLod,"""xu"""
143,Grid\Load 21.ElmLod,"""xu"""
144,Grid\Load 23.ElmLod,"""xu"""
145,Grid\Load 24.ElmLod,"""xu"""
146,Grid\Load 25.ElmLod,"""xu"""
147,Grid\Load 26.ElmLod,"""xu"""
148,Grid\Load 27.ElmLod,"""xu"""
149,Grid\Load 28.ElmLod,"""xu"""
150,Grid\Load 29.ElmLod,"""xu"""
151,Grid\Load 31.ElmLod,"""xu"""
152,Grid\Load 39.ElmLod,"""xu"""
153,Grid\G 01.ElmSym,"""psi1d"""
154,Grid\G 01.ElmSym,"""psifd"""
155,Grid\G 01.ElmSym,"""psi1q"""
156,Grid\G 01.ElmSym,"""psi2q"""
157,Grid\G 01.ElmSym,"""speed"""
158,Grid\G 01.ElmSym,"""phi"""
159,Grid\G 02.ElmSym,"""psi1d"""
160,Grid\G 02.ElmSym,"""psifd"""
161,Grid\G 02.ElmSym,"""psi1q"""
162,Grid\G 02.ElmSym,"""psi2q"""
163,Grid\G 02.ElmSym,"""speed"""
164,Grid\G 02.ElmSym,"""phi"""
165,Grid\G 06.ElmSym,"""psi1d"""
166,Grid\G 06.ElmSym,"""psifd"""
167,Grid\G 06.ElmSym,"""psi1q"""
168,Grid\G 06.ElmSym,"""psi2q"""
169,Grid\G 06.ElmSym,"""speed"""
170,Grid\G 06.ElmSym,"""phi"""
