ModeIndex,Multiplicity,RealPart,ImagPart,FrequencyHz,Damping,IsElectromechanical,DominantStateVariables,PhiParticipation,SpeedParticipation,PhiSpeedParticipation,OtherMachineStateParticipation,TotalMachineParticipation,PhiSpeedRatio,ParticipatingGenerators,MainGenerators,SecondGeneratorRatioToTop,AllParticipatingGenerators,ParticipatingAreas,MainGeneratorAreas,TopGenerator,TopGeneratorParticipation,PrimaryGeneratorThresholdRatio
14,1,-0.19753866324445382,6.980166108062324,1.1109279397006357,-0.19753866324445382,True,phi; speed,1.259266165445615,1.0080473114666195,2.2673134769122347,0.10109704863010816,2.368410525542343,0.9573143897395247,g10,g10; g8,0.07537388734971452,g10; g8; g6; g7; g1; g9; g2,area_1,area_1,g10,1.8440286707040823,0.1
29,1,-0.40997296397731103,10.12864427478415,1.612023803151323,-0.40997296397731103,True,phi; speed,4.015163342906836e-05,3.849768237302432e-05,7.864931580209267e-05,8.198305392704254e-06,8.684762119479693e-05,0.9056012671398832,g2; g1; g8; g6; g10; g7,g2; g1; g8; g6; g10; g7,,g2; g1; g8; g6; g10; g7; g9,area_2; area_1; area_3,area_2; area_1; area_3,g2,3.5427263450067424e-05,0.1
31,1,-0.4100141203891968,10.129286631550729,1.6121260374059525,-0.4100141203891968,True,speed; phi,0.00021471113545931485,0.000396112282426807,0.0006108234178861219,0.00012355832698071059,0.0007343817448668325,0.8317519085348237,g6; g2; g8; g7; g1; g10; g9,g6; g2; g8; g7; g1; g10; g9,,g6; g2; g8; g7; g1; g10; g9,area_3; area_2; area_1,area_3; area_2; area_1,g6,0.00018793815056981862,0.1
33,1,-0.41006240977487085,10.128382472002023,1.6119821359444324,-0.41006240977487085,True,speed; phi,2.863264385959964e-06,3.3949273464103165e-06,6.258191732370281e-06,1.3847250909450133e-06,7.642916823315294e-06,0.8188224308917238,g6; g7; g8; g2; g10; g9,g6; g7; g8; g2; g10; g9,,g6; g7; g8; g2; g10; g9; g1,area_3; area_1; area_2,area_3; area_1; area_2,g6,2.588367033114112e-06,0.1
35,1,-0.4211533774611744,6.9105415404319475,1.0998468456016253,-0.4211533774611744,True,phi; speed,1.8619193361295001,1.3960858201855122,3.2580051563150123,0.149596899744044,3.4076020560590563,0.9560990698787595,g2; g6; g7; g1; g10; g9,g2; g6; g7; g1; g10; g9,,g2; g6; g7; g1; g10; g9; g8,area_2; area_3; area_1,area_2; area_3; area_1,g2,1.1085703551903157,0.1
37,1,-0.45086384398010904,6.315277704959493,1.0051076637423435,-0.45086384398010904,True,phi; speed,1.1269015245218656,1.0747756715408534,2.201677196062719,0.13020881711650079,2.33188601317922,0.9441615857805252,g9; g6,g9; g6,,g9; g6; g2; g7; g1; g8; g10,area_1; area_3,area_1; area_3,g9,1.719712642439197,0.1
39,1,-0.4544984408282152,3.9720847219989333,0.6321769178859271,-0.4544984408282152,True,speed; phi,1.3257899820996175,1.3469688531929853,2.672758835292603,0.3522136850304909,3.024972520323094,0.8835646662360849,g1; g9; g6; g7,g1; g9; g6; g7,,g1; g9; g6; g7; g10; g2; g8,area_1; area_3,area_1; area_3,g1,1.5884309051948948,0.1
41,1,-0.697205457761477,8.938006089766763,1.422527850571843,-0.697205457761477,True,speed; phi,1.7411650209901415,1.7443422316545922,3.4855072526447337,0.2513501587992861,3.73685741144402,0.9327375569564058,g7; g6,g7; g6,,g7; g6; g8; g10; g9; g1; g2,area_3,area_3,g7,2.0947107568094125,0.1
43,1,-0.7066548813553508,8.847198923554672,1.4080754412010215,-0.7066548813553508,True,phi; speed,1.1663661052999363,1.148277901369327,2.3146440066692633,0.1725975840288161,2.4872415906980794,0.9306068277909529,g8,g8; g10,0.09179083587747676,g8; g10; g6; g7; g9; g1; g2,area_1,area_1,g8,2.0892073418798427,0.1
104,1,-8.311814997763262,0.22425722394234412,0.03569164571449021,-8.311814997763262,True,speed; phi,0.001074467684777275,0.0015577338478949872,0.002632201532672262,0.0012210154443466075,0.0038532169770188695,0.6831179111820289,g2; g1; g8; g10; g6; g9,g2; g1; g8; g10; g6; g9,,g2; g1; g8; g10; g6; g9; g7,area_2; area_1; area_3,area_2; area_1; area_3,g2,0.0009425218507684976,0.1
