Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.3963278904672235,0.3963278904672235,0.4714712052226566
Order 4,Mode 1,0.6062,-0.08,10,0.26735369235973583,0.2902545441150524,0.49549078432224
Order 6,Mode 1,0.6062,-0.08,19,0.25283799462885154,0.27875871829988835,0.5026089801416727
Tau 0.01,Mode 1,0.6062,-0.08,28,0.3001278181387803,0.43108356648163315,1.0500510108208483
Tau 0.01,Mode 3,1.0312,-0.2558,2,0.14707900583472516,0.14707900583472516,0.22428859368281848
Tau 0.01,Mode 4,1.1211,-0.3373,10,0.18418033701125414,0.167677133526082,0.2935325275161047
Tau 0.01,Mode 5,1.3155,-0.4033,2,0.05342777589583815,0.05342777589583815,0.07305022154190684
Tau 0.1,Mode 1,0.6062,-0.08,20,0.26999795455047326,0.3514355973046968,0.7200176487063455
Tau 0.1,Mode 3,1.0312,-0.2558,2,0.1659610044323726,0.1659610044323726,0.17725259208965094
Tau 0.1,Mode 4,1.1211,-0.3373,4,0.17771377088785445,0.1625009761501124,0.18833566467682583
Tau 1,Mode 1,0.6062,-0.08,15,0.2505305729899661,0.2991866501358956,0.5357111112566224
