Gen,Signal,Method,Frequency,Damping,Amplitude,Phase,Reference_Mode,Reference_Frequency,Reference_Damping,Distance_to_Reference
g1,Voltage,Order 2,0.5364566469109998,-0.0652501692813395,0.0017921118223691,2.104249851834024,Inter-area,0.54,-0.127,0.0618514102094411
g1,Voltage,Order 4,0.5423726286939118,-0.1084678606600953,0.0024802980038783,1.906519049180441,Inter-area,0.54,-0.127,0.018683403208003005
g1,Voltage,Order 6,0.5748156700621905,-1.2476259221011228,0.0017880133955436,1.36623642770832,Intra-area 1,1.083,-0.603,0.8208494945110603
g1,Voltage,Order 6,0.536655637140288,-0.0902028397789542,0.0020007252463518,2.112636728605957,Inter-area,0.54,-0.127,0.03694882627730869
g1,Voltage,Tau 1,0.5364566469109998,-0.0652501692813395,0.0017921118223691,2.104249851834024,Inter-area,0.54,-0.127,0.0618514102094411
g1,Voltage,Tau 0.1,1.071636251842213,-0.640777850319432,0.0002697843836706,-0.121456411629918,Intra-area 1,1.083,-0.603,0.039449977781375496
g1,Voltage,Tau 0.1,0.5421044573867696,-0.1034118265017096,0.0023415108874763,1.899376702307142,Inter-area,0.54,-0.127,0.023681863733206864
g1,Voltage,Tau 0.01,1.071636251842213,-0.640777850319432,0.0002697843836706,-0.121456411629918,Intra-area 1,1.083,-0.603,0.039449977781375496
g1,Voltage,Tau 0.01,0.5421044573867696,-0.1034118265017096,0.0023415108874763,1.899376702307142,Inter-area,0.54,-0.127,0.023681863733206864
g1,Current,Order 2,0.5492654940712918,-0.1176130650748683,0.0052707108904499,-1.1104906221428994,Inter-area,0.54,-0.127,0.013189538569404151
g1,Current,Order 4,1.0407974601494996,-0.7701559873197344,0.0032393480555667,2.8704466154069768,Intra-area 2,1.119,-0.631,0.15962464109904584
g1,Current,Order 4,0.5458948847950962,-0.1313794593946793,0.0055570330533536,-0.9797718267839034,Inter-area,0.54,-0.127,0.007343659260688804
g1,Current,Order 6,1.0446817968922308,-0.7639323472287994,0.0032767471018506,2.9002534136674534,Intra-area 2,1.119,-0.631,0.15229643545705765
g1,Current,Order 6,0.5446479478395376,-0.1164269926248031,0.0052496417373219,-0.951988982739497,Inter-area,0.54,-0.127,0.0115495412928406
g1,Current,Tau 1,1.0407974601494996,-0.7701559873197344,0.0032393480555667,2.8704466154069768,Intra-area 2,1.119,-0.631,0.15962464109904584
g1,Current,Tau 1,0.5458948847950962,-0.1313794593946793,0.0055570330533536,-0.9797718267839034,Inter-area,0.54,-0.127,0.007343659260688804
g1,Current,Tau 0.1,1.0446817968922308,-0.7639323472287994,0.0032767471018506,2.9002534136674534,Intra-area 2,1.119,-0.631,0.15229643545705765
g1,Current,Tau 0.1,0.5446479478395376,-0.1164269926248031,0.0052496417373219,-0.951988982739497,Inter-area,0.54,-0.127,0.0115495412928406
g1,Current,Tau 0.01,1.0894623525456149,-0.2378122130963651,0.0004283018673373,-0.5631864620338604,Intra-area 1,1.083,-0.603,0.365244961230129
g1,Current,Tau 0.01,1.0509402442584583,-0.7347877007166748,0.0045181922793858,2.8262111031689194,Intra-area 2,1.119,-0.631,0.12411292105035786
g1,Current,Tau 0.01,0.5389679670894248,-0.0928791285552968,0.0045322697534781,-0.7800152092110825,Inter-area,0.54,-0.127,0.03413647550750477
g1,Active Power,Order 2,0.544479695784691,-0.1580437033553382,2.2440930404735044,-0.6802448715561917,Inter-area,0.54,-0.127,0.03136525453965924
g1,Active Power,Order 4,1.0393402312543536,-0.8449470353765172,3.335118672713113,2.9204275437285534,Intra-area 2,1.119,-0.631,0.22829588849344298
g1,Active Power,Order 4,0.5368976851368079,-0.0791956769285282,1.6209744912419013,-0.3402226954499398,Inter-area,0.54,-0.127,0.04790488139878893
g1,Active Power,Order 6,1.0376521481442604,-0.7091355351281495,2.857746731467781,2.887683810399682,Intra-area 2,1.119,-0.631,0.1127946579023388
g1,Active Power,Order 6,0.5414822216572793,-0.1237364312996204,2.1447188491699998,-0.5102835484307215,Inter-area,0.54,-0.127,0.003584391399304091
g1,Active Power,Tau 1,1.0393402312543536,-0.8449470353765172,3.335118672713113,2.9204275437285534,Intra-area 2,1.119,-0.631,0.22829588849344298
g1,Active Power,Tau 1,0.5368976851368079,-0.0791956769285282,1.6209744912419013,-0.3402226954499398,Inter-area,0.54,-0.127,0.04790488139878893
