Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Inter-area,0.54,-0.127,97,0.0035854197140000803,0.012527021891399663,0.746474236998951
Intra-area 1,1.083,-0.603,5,0.1051138225126811,0.2720169081366381,0.8237052110041967
Intra-area 2,1.119,-0.631,41,0.15728250840709723,0.1665264805202343,0.4488832306175489
