Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g4,Active Power,Mode 1,0.6062,-0.08,4,0.2695848234704543,0.26617181118291366,0.300589036810234
g4,Active Power,Mode 4,1.1211,-0.3373,2,0.31484248836109563,0.31484248836109563,0.31864067314496675
g4,Active Power,Mode 7,1.4953,-0.7033,1,0.6166715151683392,0.6166715151683392,0.6166715151683392
g4,Current,Mode 1,0.6062,-0.08,5,0.2561755820035027,0.25989979505085403,0.273350654808168
g4,Current,Mode 4,1.1211,-0.3373,2,0.32662193255354444,0.32662193255354444,0.32662193255354444
g4,Reactive Power,Mode 1,0.6062,-0.08,2,0.2672923089803587,0.2672923089803587,0.26904991498897496
g4,Reactive Power,Mode 4,1.1211,-0.3373,1,0.28540014800338737,0.28540014800338737,0.28540014800338737
g4,Voltage,Mode 1,0.6062,-0.08,8,0.24655953034801242,0.4525819047922808,0.9688567779244687
g4,Voltage,Mode 3,1.0312,-0.2558,1,0.14943620779772646,0.14943620779772646,0.14943620779772646
g5,Active Power,Mode 1,0.6062,-0.08,5,0.2614156824087651,0.2561199265007349,0.27383145689433713
g5,Active Power,Mode 4,1.1211,-0.3373,3,0.322155075810737,0.32241626578971444,0.37002334877861065
g5,Active Power,Mode 5,1.3155,-0.4033,1,0.07115553897551491,0.07115553897551491,0.07115553897551491
g5,Current,Mode 1,0.6062,-0.08,5,0.28477678518031596,0.2750392955108706,0.2847884019250621
g5,Current,Mode 4,1.1211,-0.3373,2,0.24990569294062034,0.24990569294062034,0.24990569294062034
g5,Reactive Power,Mode 1,0.6062,-0.08,11,0.5274535782947688,0.49318460317634916,0.8447123146098974
g5,Reactive Power,Mode 3,1.0312,-0.2558,1,0.05590988746585623,0.05590988746585623,0.05590988746585623
g5,Voltage,Mode 1,0.6062,-0.08,11,0.38840770589307516,0.44188009284469415,0.7846470078565256
g5,Voltage,Mode 4,1.1211,-0.3373,1,0.05055237741557914,0.05055237741557914,0.05055237741557914
g6,Active Power,Mode 1,0.6062,-0.08,5,0.25350533439144957,0.2583769453932173,0.27486509932477265
g6,Active Power,Mode 4,1.1211,-0.3373,2,0.3155583033051082,0.3155583033051082,0.3155583033051082
g6,Current,Mode 1,0.6062,-0.08,5,0.2772601153432809,0.27305325201193487,0.2858192965771528
g6,Current,Mode 4,1.1211,-0.3373,2,0.32495276960267483,0.32495276960267483,0.3294285302799933
g6,Reactive Power,Mode 1,0.6062,-0.08,3,0.24505707376871125,0.24272908076616165,0.24505707376871125
g6,Voltage,Mode 1,0.6062,-0.08,7,0.28373352461017404,0.4146237169311768,0.7821144147965037
g6,Voltage,Mode 3,1.0312,-0.2558,1,0.03324587439405698,0.03324587439405698,0.03324587439405698
g7,Active Power,Mode 1,0.6062,-0.08,5,0.26627440321132284,0.2694214243249856,0.2995315752088811
g7,Active Power,Mode 4,1.1211,-0.3373,2,0.3187520050112291,0.3187520050112291,0.3187520050112291
g7,Current,Mode 1,0.6062,-0.08,5,0.28456852311772085,0.28312525578967396,0.2967408746027763
g7,Current,Mode 4,1.1211,-0.3373,2,0.3090326489744658,0.3090326489744658,0.3090326489744658
g7,Reactive Power,Mode 1,0.6062,-0.08,7,0.27484598842610153,0.4439269678752978,1.104732730068558
g7,Reactive Power,Mode 4,1.1211,-0.3373,2,0.19311013377557582,0.19311013377557582,0.3552091542403535
g7,Voltage,Mode 1,0.6062,-0.08,11,0.3156512061360586,0.46628790080196725,0.9757243812459488
