Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.18585184058659598,0.18585184058659598,0.2157759375627841
Order 4,Mode 1,0.6062,-0.08,15,0.27587414908976965,0.3045146497906398,0.5689731130516006
Order 6,Mode 1,0.6062,-0.08,19,0.27383145689433713,0.3341812739271921,0.8358123301649392
Tau 0.01,Mode 1,0.6062,-0.08,27,0.28456852311772085,0.44021956902789977,1.104732730068558
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.05590988746585623,0.07953065655254656,0.14943620779772646
Tau 0.01,Mode 4,1.1211,-0.3373,12,0.31330130344116636,0.27029900308635646,0.37002334877861065
Tau 0.01,Mode 5,1.3155,-0.4033,1,0.07115553897551491,0.07115553897551491,0.07115553897551491
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.6166715151683392,0.6166715151683392,0.6166715151683392
Tau 0.1,Mode 1,0.6062,-0.08,21,0.28103102100278426,0.3942819240102858,0.9608594256734159
Tau 0.1,Mode 4,1.1211,-0.3373,8,0.3170994882250375,0.30537626987371547,0.3294285302799933
Tau 1,Mode 1,0.6062,-0.08,15,0.27486509932477265,0.3528873849546776,0.8358123301649392
Tau 1,Mode 4,1.1211,-0.3373,1,0.322155075810737,0.322155075810737,0.322155075810737
