"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
1.250000,0.978825,0.821968,261.478597,675.247055
1.260000,0.979466,0.821780,259.801927,676.224554
1.270000,0.980152,0.821557,258.063468,677.222789
1.280000,0.980883,0.821296,256.264297,678.236941
1.290000,0.981659,0.820993,254.405589,679.262074
1.300000,0.982478,0.820643,252.488619,680.293150
1.310000,0.983341,0.820244,250.514760,681.325043
1.320000,0.984246,0.819791,248.485493,682.352559
1.330000,0.985194,0.819282,246.402402,683.370448
1.340000,0.986182,0.818713,244.267184,684.373424
1.350000,0.987210,0.818079,242.081651,685.356184
1.360000,0.988277,0.817379,239.847725,686.313425
1.370000,0.989381,0.816609,237.567450,687.239867
1.380000,0.990522,0.815765,235.242984,688.130275
1.390000,0.991698,0.814845,232.876607,688.979472
1.400000,0.992908,0.813846,230.470735,689.782364
1.410000,0.994150,0.812766,228.027908,690.533951
1.420000,0.995423,0.811602,225.550795,691.229356
1.430000,0.996724,0.810352,223.042167,691.863841
1.440000,0.998053,0.809015,220.504894,692.432828
1.450000,0.999407,0.807588,217.941941,692.931937
1.460000,1.000785,0.806070,215.356364,693.357002
1.470000,1.002184,0.804460,212.751301,693.704101
1.480000,1.003603,0.802758,210.129992,693.969398
1.490000,1.005040,0.800962,207.495727,694.149299
1.500000,1.006491,0.799073,204.851765,694.240903
1.510000,1.007956,0.797091,202.201425,694.241661
1.520000,1.009432,0.795016,199.547979,694.149243
1.530000,1.010916,0.792849,196.894297,693.961470
1.540000,1.012405,0.790593,194.243310,693.676654
1.550000,1.013898,0.788247,191.598457,693.293921
1.560000,1.015393,0.785816,188.963442,692.812954
1.570000,1.016886,0.783302,186.341543,692.233645
1.580000,1.018376,0.780708,183.735974,691.556362
1.590000,1.019861,0.778037,181.150162,690.782050
1.600000,1.021338,0.775293,178.587573,689.912092
1.610000,1.022805,0.772480,176.051378,688.948310
1.620000,1.024261,0.769603,173.544565,687.892920
1.630000,1.025702,0.766668,171.070062,686.748633
1.640000,1.027127,0.763678,168.630790,685.518682
1.650000,1.028534,0.760641,166.229698,684.206801
1.660000,1.029921,0.757562,163.870073,682.816970
1.670000,1.031286,0.754446,161.555123,681.353440
1.680000,1.032628,0.751302,159.287307,679.821126
1.690000,1.033944,0.748134,157.068732,678.225551
1.700000,1.035233,0.744951,154.901540,676.572201
1.710000,1.036494,0.741760,152.787551,674.867165
1.720000,1.037725,0.738567,150.728615,673.117095
1.730000,1.038926,0.735382,148.725988,671.328699
1.740000,1.040093,0.732211,146.780912,669.508838
1.750000,1.041227,0.729062,144.895365,667.665003
1.760000,1.042327,0.725944,143.071238,665.804965
1.770000,1.043392,0.722865,141.309879,663.936503
1.780000,1.044421,0.719833,139.612390,662.067514
1.790000,1.045416,0.716856,137.979758,660.205972
1.800000,1.046374,0.713941,136.412877,658.359870
1.810000,1.047295,0.711097,134.912549,656.537187
1.820000,1.048180,0.708332,133.479605,654.745774
1.830000,1.049029,0.705652,132.114770,652.993380
1.840000,1.049840,0.703066,130.818487,651.287751
1.850000,1.050615,0.700580,129.591428,649.636327
1.860000,1.051353,0.698202,128.434261,648.046267
1.870000,1.052054,0.695937,127.347110,646.524763
1.880000,1.052720,0.693793,126.329889,645.078942
1.890000,1.053349,0.691775,125.382672,643.715603
1.900000,1.053943,0.689890,124.505570,642.441192
1.910000,1.054503,0.688143,123.698690,641.261805
1.920000,1.055027,0.686539,122.962137,640.183165
1.930000,1.055518,0.685082,122.296021,639.210594
1.940000,1.055975,0.683777,121.700458,638.349001
1.950000,1.056399,0.682629,121.175577,637.602856
1.960000,1.056790,0.681639,120.721527,636.976181
1.970000,1.057150,0.680813,120.338477,636.472528
1.980000,1.057478,0.680151,120.026622,636.094973
1.990000,1.057775,0.679656,119.786185,635.846102
2.000000,1.058042,0.679330,119.617417,635.728001
2.010000,1.058278,0.679174,119.520600,635.742254
2.020000,1.058485,0.679189,119.496042,635.889933
2.030000,1.058662,0.679375,119.544079,636.171598
2.040000,1.058810,0.679732,119.665070,636.587296
2.050000,1.058930,0.680260,119.859396,637.136562
2.060000,1.059021,0.680956,120.127451,637.818421
2.070000,1.059084,0.681820,120.469640,638.631395
2.080000,1.059119,0.682850,120.886373,639.573505
2.090000,1.059126,0.684043,121.378054,640.642285
2.100000,1.059106,0.685396,121.945075,641.834788
2.110000,1.059057,0.686907,122.587808,643.147599
2.120000,1.058981,0.688571,123.306593,644.576850
2.130000,1.058877,0.690384,124.101728,646.118235
2.140000,1.058745,0.692342,124.973459,647.767023
2.150000,1.058585,0.694440,125.921972,649.518083
2.160000,1.058397,0.696673,126.947375,651.365900
2.170000,1.058181,0.699036,128.049693,653.304597
2.180000,1.057936,0.701521,129.228854,655.327958
2.190000,1.057663,0.704125,130.484678,657.429454
2.200000,1.057360,0.706839,131.816865,659.602271
2.210000,1.057029,0.709657,133.224984,661.839330
2.220000,1.056668,0.712573,134.708466,664.133326
2.230000,1.056277,0.715579,136.266590,666.476750
2.240000,1.055857,0.718668,137.898475,668.861925
2.250000,1.055407,0.721832,139.603072,671.281037
2.260000,1.054927,0.725064,141.379158,673.726167
2.270000,1.054417,0.728356,143.225324,676.189328
2.280000,1.053876,0.731700,145.139977,678.662496
2.290000,1.053305,0.735089,147.121329,681.137648
2.300000,1.052704,0.738513,149.167400,683.606797
2.310000,1.052073,0.741966,151.276010,686.062027
2.320000,1.051411,0.745440,153.444783,688.495528
2.330000,1.050720,0.748926,155.671148,690.899633
2.340000,1.049999,0.752417,157.952340,693.266850
2.350000,1.049248,0.755905,160.285409,695.589894
2.360000,1.048469,0.759382,162.667220,697.861723
2.370000,1.047660,0.762842,165.094465,700.075569
2.380000,1.046824,0.766276,167.563669,702.224963
2.390000,1.045961,0.769677,170.071202,704.303768
2.400000,1.045071,0.773040,172.613288,706.306204
2.410000,1.044154,0.776357,175.186020,708.226870
2.420000,1.043213,0.779621,177.785372,710.060768
2.430000,1.042248,0.782827,180.407215,711.803320
2.440000,1.041260,0.785969,183.047335,713.450389
2.450000,1.040249,0.789042,185.701442,714.998287
2.460000,1.039218,0.792041,188.365196,716.443791
2.470000,1.038167,0.794960,191.034220,717.784144
2.480000,1.037098,0.797795,193.704128,719.017018
2.490000,1.036012,0.800542,196.370519,720.140625
2.500000,1.034911,0.803198,199.029300,721.153473
2.510000,1.033795,0.805760,201.676681,722.054270
2.520000,1.032666,0.808223,204.308312,722.842500
2.530000,1.031526,0.810585,206.919702,723.518326
2.540000,1.030377,0.812845,209.506747,724.082203
2.550000,1.029219,0.815000,212.065209,724.535163
2.560000,1.028056,0.817050,214.590936,724.878712
2.570000,1.026888,0.818992,217.080002,725.114656
