"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
0.000000,1.009792,0.801665,201.999958,699.999966
0.010000,1.003052,0.858573,215.015739,744.653270
0.020000,1.003017,0.857429,215.198317,743.496811
0.030000,1.003018,0.856369,215.410719,742.439930
0.040000,1.003039,0.855349,215.637998,741.431726
0.050000,1.003070,0.854335,215.870460,740.435958
0.060000,1.003105,0.853305,216.101970,739.427081
0.070000,1.003138,0.852241,216.328791,738.387358
0.080000,1.003167,0.851135,216.548782,737.304778
0.090000,1.003189,0.849978,216.760854,736.171532
0.100000,1.003203,0.848768,216.964605,734.982905
0.110000,1.003207,0.847502,217.160067,733.736464
0.120000,1.003201,0.846180,217.347541,732.431463
0.130000,1.003185,0.844804,217.527492,731.068409
0.140000,1.003158,0.843374,217.700472,729.648734
0.150000,1.003120,0.841894,217.867084,728.174553
0.160000,1.003072,0.840366,218.027946,726.648490
0.170000,1.003013,0.838794,218.183685,725.073533
0.180000,1.002944,0.837181,218.334922,723.452937
0.190000,1.002864,0.835532,218.482270,721.790136
0.200000,1.002774,0.833849,218.626336,720.088686
0.210000,1.002673,0.832138,218.767715,718.352209
0.220000,1.002562,0.830401,218.906999,716.584357
0.230000,1.002440,0.828643,219.044771,714.788772
0.240000,1.002309,0.826868,219.181611,712.969065
0.250000,1.002167,0.825079,219.318097,711.128785
0.260000,1.002015,0.823281,219.454803,709.271405
0.270000,1.001854,0.821477,219.592298,707.400297
0.280000,1.001683,0.819670,219.731153,705.518724
0.290000,1.001502,0.817864,219.871933,703.629821
0.300000,1.001312,0.816062,220.015198,701.736585
0.310000,1.001112,0.814267,220.161511,699.841862
0.320000,1.000903,0.812482,220.311430,697.948341
0.330000,1.000685,0.810710,220.465504,696.058542
0.340000,1.000457,0.808954,220.624277,694.174816
0.350000,1.000221,0.807215,220.788282,692.299331
0.360000,0.999976,0.805496,220.958042,690.434078
0.370000,0.999723,0.803798,221.134066,688.580861
0.380000,0.999460,0.802125,221.316846,686.741299
0.390000,0.999190,0.800476,221.506859,684.916821
0.400000,0.998911,0.798854,221.704561,683.108676
0.410000,0.998624,0.797259,221.910385,681.317923
0.420000,0.998329,0.795694,222.124744,679.545443
0.430000,0.998026,0.794157,222.348020,677.791938
0.440000,0.997716,0.792650,222.580567,676.057938
0.450000,0.997398,0.791174,222.822707,674.343806
0.460000,0.997073,0.789728,223.074728,672.649745
0.470000,0.996740,0.788313,223.336884,670.975807
0.480000,0.996401,0.786928,223.609399,669.321891
0.490000,0.996055,0.785573,223.892463,667.687761
0.500000,0.995702,0.784248,224.186230,666.073048
0.510000,0.995342,0.782952,224.490818,664.477260
0.520000,0.994976,0.781684,224.806406,662.899751
0.530000,0.994604,0.780444,225.133058,661.339777
0.540000,0.994226,0.779230,225.470659,659.796584
0.550000,0.993842,0.778042,225.819110,658.269334
0.560000,0.993452,0.776878,226.178281,656.757122
0.570000,0.993058,0.775738,226.548004,655.258990
0.580000,0.992658,0.774619,226.928069,653.773932
0.590000,0.992253,0.773521,227.318224,652.300915
0.600000,0.991843,0.772442,227.718175,650.838883
0.610000,0.991428,0.771380,228.127586,649.386771
0.620000,0.991010,0.770336,228.546083,647.943513
0.630000,0.990587,0.769306,228.973251,646.508058
0.640000,0.990161,0.768290,229.408637,645.079374
0.650000,0.989731,0.767286,229.851753,643.656461
0.660000,0.989298,0.766292,230.302078,642.238359
0.670000,0.988862,0.765309,230.759067,640.824153
0.680000,0.988423,0.764333,231.222285,639.412914
0.690000,0.987981,0.763364,231.691081,638.003834
0.700000,0.987538,0.762401,232.164752,636.596219
0.710000,0.987092,0.761442,232.642623,635.189436
0.720000,0.986645,0.760487,233.123959,633.782906
0.730000,0.986197,0.759534,233.607746,632.375980
0.740000,0.985747,0.758583,234.092847,630.968067
0.750000,0.985296,0.757631,234.578290,629.558820
0.760000,0.984844,0.756679,235.063399,628.148183
0.770000,0.984392,0.755726,235.548017,626.736164
0.780000,0.983940,0.754772,236.031625,625.322778
0.790000,0.983489,0.753817,236.513317,623.908263
0.800000,0.983038,0.752859,236.992344,622.492904
0.810000,0.982588,0.751899,237.467959,621.077084
0.820000,0.982140,0.750938,237.939414,619.661284
0.830000,0.981695,0.749973,238.405961,618.246088
0.840000,0.981251,0.749007,238.866859,616.832181
0.850000,0.980810,0.748039,239.321377,615.420346
0.860000,0.980372,0.747069,239.768793,614.011461
0.870000,0.979938,0.746098,240.208399,612.606501
0.880000,0.979508,0.745127,240.639500,611.206529
0.890000,0.979082,0.744155,241.061421,609.812695
0.900000,0.978661,0.743185,241.473501,608.426232
0.910000,0.978244,0.742215,241.875101,607.048451
0.920000,0.977833,0.741248,242.265603,605.680734
0.930000,0.977428,0.740285,242.644411,604.324535
0.940000,0.977029,0.739325,243.010953,602.981366
0.950000,0.976637,0.738371,243.364681,601.652798
0.960000,0.976252,0.737424,243.705075,600.340451
0.970000,0.975874,0.736485,244.031638,599.045991
0.980000,0.975503,0.735554,244.343904,597.771121
0.990000,0.975141,0.734634,244.641433,596.517578
1.000000,0.974787,0.733726,244.923814,595.287122
1.010000,0.977518,0.640896,246.647836,507.028773
1.020000,0.976722,0.641262,245.696497,507.338715
1.030000,0.975977,0.641554,244.773885,507.592067
1.040000,0.975292,0.641833,243.874217,507.856746
1.050000,0.974669,0.642142,242.991028,508.181813
1.060000,0.974112,0.642513,242.117840,508.602487
1.070000,0.973622,0.642969,241.248574,509.143812
1.080000,0.973198,0.643526,240.377774,509.823352
1.090000,0.972840,0.644194,239.500715,510.653167
1.100000,0.972548,0.644981,238.613433,511.641262
1.110000,0.972319,0.645892,237.712708,512.792648
1.120000,0.972152,0.646930,236.796016,514.110125
1.130000,0.972047,0.648096,235.861479,515.594854
1.140000,0.972002,0.649393,234.907796,517.246780
1.150000,0.972014,0.650819,233.934189,519.064941
1.160000,0.972084,0.652375,232.940342,521.047691
1.170000,0.972208,0.654060,231.926353,523.192872
1.180000,0.972386,0.655873,230.892681,525.497931
1.190000,0.972616,0.657813,229.840114,527.960012
1.200000,0.972897,0.659879,228.769728,530.576015
1.210000,0.973226,0.662069,227.682855,533.342643
1.220000,0.973602,0.664383,226.581064,536.256436
1.230000,0.974024,0.666818,225.466127,539.313788
1.240000,0.974489,0.669372,224.340008,542.510962
1.250000,0.974996,0.672045,223.204839,545.844103
1.260000,0.975543,0.674834,222.062905,549.309233
1.270000,0.976128,0.677738,220.916627,552.902260
1.280000,0.976750,0.680754,219.768551,556.618974
1.290000,0.977405,0.683881,218.621332,560.455043
1.300000,0.978093,0.687115,217.477720,564.406011
1.310000,0.978811,0.690455,216.340550,568.467293
1.320000,0.979557,0.693897,215.212724,572.634174
1.330000,0.980329,0.697440,214.097201,576.901800
1.340000,0.981125,0.701079,212.996985,581.265177
1.350000,0.981942,0.704813,211.915107,585.719167
1.360000,0.982779,0.708636,210.854617,590.258489
1.370000,0.983633,0.712547,209.818561,594.877710
1.380000,0.984501,0.716541,208.809975,599.571255
1.390000,0.985383,0.720613,207.831863,604.333397
1.400000,0.986275,0.724761,206.887189,609.158267
1.410000,0.987175,0.728979,205.978860,614.039853
1.420000,0.988080,0.733263,205.109707,618.972004
1.430000,0.988990,0.737609,204.282475,623.948441
1.440000,0.989901,0.742010,203.499800,628.962758
1.450000,0.990811,0.746462,202.764196,634.008437
1.460000,0.991718,0.750960,202.078039,639.078861
1.470000,0.992621,0.755498,201.443469,644.167272
1.480000,0.993515,0.760069,200.860548,649.265646
1.490000,0.994397,0.764667,200.330100,654.366146
1.500000,0.995268,0.769287,199.855709,659.463029
1.510000,0.996125,0.773923,199.438997,664.549952
1.520000,0.996966,0.778571,199.081341,669.620139
1.530000,0.997790,0.783222,198.784073,674.666718
1.540000,0.998595,0.787873,198.548253,679.682773
1.550000,0.999379,0.792515,198.374189,684.661659
1.560000,1.000142,0.797144,198.262052,689.596816
1.570000,1.000882,0.801752,198.211782,694.481791
1.580000,1.001598,0.806335,198.223040,699.310275
1.590000,1.002289,0.810885,198.295308,704.076085
1.600000,1.002953,0.815398,198.428085,708.773059
1.610000,1.003590,0.819867,198.619879,713.395526
1.620000,1.004199,0.824286,198.869134,717.938040
1.630000,1.004780,0.828650,199.174085,722.395396
1.640000,1.005332,0.832954,199.532698,726.762667
1.650000,1.005855,0.837192,199.942680,731.035223
1.660000,1.006349,0.841360,200.401571,735.208692
1.670000,1.006813,0.845453,200.906703,739.278981
1.680000,1.007248,0.849466,201.455407,743.242267
1.690000,1.007654,0.853394,202.044007,747.095128
1.700000,1.008031,0.857232,202.667470,750.833628
1.710000,1.008379,0.860978,203.323670,754.455847
1.720000,1.008699,0.864628,204.009569,757.959547
1.730000,1.008992,0.868179,204.720862,761.343085
1.740000,1.009259,0.871626,205.453614,764.605013
1.750000,1.009501,0.874968,206.203255,767.743922
1.760000,1.009719,0.878201,206.965707,770.759247
1.770000,1.009915,0.881324,207.736990,773.650771
1.780000,1.010089,0.884334,208.512909,776.418449
1.790000,1.010243,0.887229,209.289275,779.062518
1.800000,1.010379,0.890007,210.061933,781.583479
1.810000,1.010498,0.892668,210.826778,783.982075
1.820000,1.010601,0.895209,211.579811,786.259246
1.830000,1.010692,0.897629,212.317122,788.416126
1.840000,1.010769,0.899929,213.034874,790.454065
1.850000,1.010837,0.902105,213.729435,792.374507
1.860000,1.010896,0.904159,214.397318,794.178973
1.870000,1.010947,0.906089,215.034883,795.869031
1.880000,1.010993,0.907895,215.638875,797.446565
1.890000,1.011035,0.909576,216.206483,798.913586
1.900000,1.011075,0.911133,216.735004,800.272002
1.910000,1.011115,0.912565,217.221954,801.523697
1.920000,1.011155,0.913873,217.665092,802.670516
1.930000,1.011197,0.915056,218.062429,803.714242
1.940000,1.011243,0.916114,218.412241,804.656576
1.950000,1.011294,0.917048,218.713072,805.499120
1.960000,1.011351,0.917857,218.963743,806.243350
1.970000,1.011415,0.918543,219.163351,806.890608
1.980000,1.011487,0.919104,219.311279,807.442083
1.990000,1.011569,0.919542,219.407190,807.898797
2.000000,1.011660,0.919856,219.451030,808.261601
2.010000,1.011763,0.920046,219.443026,808.531160
2.020000,1.011876,0.920114,219.383680,808.707950
2.030000,1.012001,0.920058,219.273770,808.792258
2.040000,1.012138,0.919879,219.114340,808.784175
2.050000,1.012286,0.919578,218.906692,808.683603
2.060000,1.012447,0.919154,218.652382,808.490258
2.070000,1.012620,0.918608,218.353208,808.203673
2.080000,1.012805,0.917939,218.011201,807.823210
2.090000,1.013001,0.917149,217.628611,807.348073
2.100000,1.013209,0.916237,217.207898,806.777316
2.110000,1.013426,0.915204,216.751716,806.109860
2.120000,1.013653,0.914049,216.262900,805.344513
2.130000,1.013889,0.912774,215.744451,804.479985
2.140000,1.014133,0.911379,215.199519,803.514909
2.150000,1.014384,0.909864,214.631387,802.447864
2.160000,1.014640,0.908230,214.043455,801.277399
2.170000,1.014900,0.906477,213.439219,800.002053
2.180000,1.015164,0.904607,212.822255,798.620381
2.190000,1.015428,0.902619,212.196200,797.130984
2.200000,1.015693,0.900517,211.564730,795.532526
2.210000,1.015956,0.898299,210.931543,793.823770
2.220000,1.016216,0.895969,210.300340,792.003593
2.230000,1.016471,0.893527,209.674801,790.071020
2.240000,1.016719,0.890976,209.058569,788.025246
2.250000,1.016959,0.888316,208.455227,785.865658
2.260000,1.017188,0.885551,207.868279,783.591861
2.270000,1.017405,0.882682,207.301134,781.203699
2.280000,1.017609,0.879712,206.757081,778.701276
2.290000,1.017796,0.876644,206.239276,776.084973
2.300000,1.017967,0.873481,205.750722,773.355466
2.310000,1.018118,0.870227,205.294253,770.513742
2.320000,1.018248,0.866884,204.872518,767.561110
2.330000,1.018356,0.863456,204.487967,764.499213
2.340000,1.018440,0.859947,204.142837,761.330034
2.350000,1.018499,0.856362,203.839140,758.055903
2.360000,1.018531,0.852705,203.578656,754.679499
2.370000,1.018534,0.848980,203.362917,751.203851
2.380000,1.018509,0.845193,203.193206,747.632336
2.390000,1.018453,0.841348,203.070549,743.968672
2.400000,1.018366,0.837450,202.995710,740.216912
2.410000,1.018246,0.833505,202.969190,736.381434
2.420000,1.018094,0.829518,202.991227,732.466927
2.430000,1.017909,0.825495,203.061796,728.478381
2.440000,1.017689,0.821441,203.180612,724.421064
2.450000,1.017436,0.817363,203.347135,720.300507
2.460000,1.017149,0.813267,203.560578,716.122483
2.470000,1.016827,0.809157,203.819846,711.892940
2.480000,1.016471,0.805041,204.123128,707.617728
2.490000,1.016082,0.800923,204.469104,703.303396
2.500000,1.015658,0.796811,204.856333,698.956537
2.510000,1.015203,0.792709,205.283104,694.583697
2.520000,1.014715,0.788624,205.747376,690.191573
2.530000,1.014196,0.784562,206.246880,685.786975
2.540000,1.013647,0.780528,206.779270,681.376728
