k,Cost,k_selected_by_max_chord
1,384.7558053733891,False
2,288.30992766468523,False
3,215.89251709344737,False
4,153.13421203204396,True
5,136.01539932301833,False
6,122.4505023352808,False
7,111.8563187841053,False
8,103.97310503535863,False
9,96.78420945431216,False
10,89.56310558949363,False
