Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,5,0.3707021026391286,0.3354058843523278,0.5153243388904938
Order 4,Mode 1,0.6062,-0.08,33,0.3230520324960778,0.35214338606985846,0.6877769480127266
Order 4,Mode 2,0.9497,-0.1065,1,0.18941726334992304,0.18941726334992304,0.18941726334992304
Order 4,Mode 3,1.0312,-0.2558,1,0.31669978869241094,0.31669978869241094,0.31669978869241094
Order 6,Mode 1,0.6062,-0.08,45,0.2855616904490644,0.333370087220772,0.666360042278045
Order 6,Mode 3,1.0312,-0.2558,5,0.18406815919283526,0.23898381000199845,0.5114203883939322
Tau 0.01,Mode 1,0.6062,-0.08,62,0.26897084799503124,0.3631447665161061,0.8428738843090433
Tau 0.01,Mode 3,1.0312,-0.2558,4,0.10773352227667429,0.10602705080516288,0.14203400063319188
Tau 0.01,Mode 4,1.1211,-0.3373,32,0.19134195616797367,0.21785727322300663,0.4523652353478277
Tau 0.01,Mode 5,1.3155,-0.4033,1,0.3311054668172687,0.3311054668172687,0.3311054668172687
Tau 0.01,Mode 7,1.4953,-0.7033,2,0.31420180458299907,0.31420180458299907,0.3597503257274587
Tau 0.1,Mode 1,0.6062,-0.08,47,0.2701326069199668,0.34412100278959323,0.7132363922644647
Tau 0.1,Mode 3,1.0312,-0.2558,2,0.23074080997190446,0.23074080997190446,0.32688872473042574
Tau 0.1,Mode 4,1.1211,-0.3373,12,0.18324866980212284,0.2519974717779007,0.4523652353478277
Tau 1,Mode 1,0.6062,-0.08,27,0.3170198349819062,0.3497294255438226,0.6877769480127266
Tau 1,Mode 3,1.0312,-0.2558,1,0.32688872473042574,0.32688872473042574,0.32688872473042574
