Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,219,0.2838872995218327,0.3489989599625314,0.8428738843090433
Mode 2,0.9497,-0.1065,1,0.18941726334992304,0.18941726334992304,0.18941726334992304
Mode 3,1.0312,-0.2558,13,0.14345924347794448,0.2095459528151761,0.5114203883939322
Mode 4,1.1211,-0.3373,44,0.18399445398302594,0.22716823646525047,0.4523652353478277
Mode 5,1.3155,-0.4033,1,0.3311054668172687,0.3311054668172687,0.3311054668172687
Mode 7,1.4953,-0.7033,2,0.31420180458299907,0.31420180458299907,0.3597503257274587
