k,Cluster,Size,Representative_Frequency,Representative_Damping,MAD_2D,Mean_2D_Distance,Max_2D_Distance
10,1,1,0.5748156700621905,-1.2476259221011228,0.0,0.0,0.0
10,2,21,0.544479695784691,-0.1580437033553382,0.009293855293682856,0.012417681392434746,0.026985530280126867
10,3,10,1.0393402312543536,-0.8449470353765172,0.022283349278865508,0.06045949499922197,0.23465229614901825
10,4,42,0.5414822216572793,-0.12373643129962042,0.008825388061139689,0.009680639169200677,0.016731272579139766
10,5,1,0.3028649351157434,-0.9247971472544236,0.0,0.0,0.0
10,6,16,1.0540805139349203,-0.7794243089588951,0.01715850933312285,0.022999949584173195,0.05469536193026827
10,7,9,1.0869647381378944,-0.6641275866939272,0.027931571400036218,0.034437672477846466,0.10652275806709953
10,8,33,0.5427617788660669,-0.09029311785837718,0.01095789130839837,0.010083012794355724,0.02582448377805376
10,9,12,1.069344256941293,-0.7215385272307359,0.020908425049506744,0.020438365107325024,0.03899885017335439
10,10,3,1.08713352408584,-0.2403524825566656,0.0034462169006017162,0.009523299314451887,0.025123681042753945
