k,Cost,k_selected_by_max_chord
1,296.040083881196,False
2,229.668243776395,False
3,169.43634210850377,False
4,134.58773864365136,True
5,110.08669628402774,False
6,91.0289672738485,False
7,84.26041592017349,False
8,79.99173589059791,False
9,73.1430413244457,False
10,68.93393200776221,False
