Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.39161280475478066,0.39161280475478066,0.4309399048274401
Order 4,Mode 1,0.6062,-0.08,9,0.3242471536546481,0.314660759848665,0.5280175277954251
Order 4,Mode 2,0.9497,-0.1065,1,0.07489007478451763,0.07489007478451763,0.07489007478451763
Order 4,Mode 4,1.1211,-0.3373,1,0.26891566195501065,0.26891566195501065,0.26891566195501065
Order 6,Mode 1,0.6062,-0.08,17,0.2559035005928795,0.2722537031538168,0.5191733623520777
Order 6,Mode 2,0.9497,-0.1065,2,0.09364163661902278,0.09364163661902278,0.10051839052549631
Order 6,Mode 3,1.0312,-0.2558,1,0.17231858296645738,0.17231858296645738,0.17231858296645738
Order 6,Mode 4,1.1211,-0.3373,1,0.19592488037553263,0.19592488037553263,0.19592488037553263
Tau 0.01,Mode 1,0.6062,-0.08,27,0.2863581660217487,0.38213187385517605,0.848775594422298
Tau 0.01,Mode 3,1.0312,-0.2558,1,0.01197142919836525,0.01197142919836525,0.01197142919836525
Tau 0.01,Mode 4,1.1211,-0.3373,15,0.1976794002478853,0.176833320707225,0.390820623232739
Tau 0.01,Mode 7,1.4953,-0.7033,2,0.22365642893690477,0.22365642893690477,0.2377784978275878
Tau 0.1,Mode 1,0.6062,-0.08,20,0.27000872784396823,0.32230942496992543,0.7618927674479016
Tau 0.1,Mode 4,1.1211,-0.3373,7,0.2186504314569905,0.2016213721196,0.2621097003249563
Tau 1,Mode 1,0.6062,-0.08,13,0.2374485664887416,0.3114293251593713,0.5827462571633141
Tau 1,Mode 4,1.1211,-0.3373,5,0.2621097003249563,0.23478074228832302,0.26891566195501065
