Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load03,g2,Voltage,Order 4,0.6520655615575219,-0.3997795583880559,8.189885917872431e-05,1.2775187014398688
load03,g2,Voltage,Order 6,0.6275641835759551,-0.3636764783498835,7.994315009438247e-05,1.534562404983731
load03,g2,Voltage,Order 6,0.1002499920468005,-0.4808442791135062,6.394534513293448e-05,2.0908254860266178
load03,g2,Voltage,Tau 1,0.6275641835759551,-0.3636764783498835,7.994315009438247e-05,1.534562404983731
load03,g2,Voltage,Tau 1,0.1002499920468005,-0.4808442791135062,6.394534513293448e-05,2.0908254860266178
load03,g2,Voltage,Tau 0.1,0.6275641835759551,-0.3636764783498835,7.994315009438247e-05,1.534562404983731
load03,g2,Voltage,Tau 0.1,0.1002499920468005,-0.4808442791135062,6.394534513293448e-05,2.0908254860266178
load03,g2,Voltage,Tau 0.01,1.0977642527950229,-0.2534096545811709,3.920931130774349e-06,1.5072574621849566
load03,g2,Voltage,Tau 0.01,0.9899445192229728,-0.4974059083377773,1.0527265401559014e-05,-0.2652448698955523
load03,g2,Voltage,Tau 0.01,0.6320128185702529,-0.2928318496453523,6.833288593606763e-05,1.52025097704944
load03,g2,Voltage,Tau 0.01,0.105187910833506,-0.6222080930539234,7.033052109076639e-05,2.152855186095559
load03,g2,Voltage,Tau 0.01,0.1612697832929193,-0.1611381506404411,3.799894384184884e-06,1.290914981041987
load03,g2,Current,Order 4,0.2226294248822873,-0.2244038588032603,0.0001005272256211,0.7851401097291737
load03,g2,Current,Order 6,0.636972010977493,-0.4172356864100472,0.0003219446904283,-1.3139749774329512
load03,g2,Current,Tau 1,0.6402066281862695,-0.4508003067992804,0.0003448530408703,-1.3424820138634497
load03,g2,Current,Tau 0.1,0.9730888439293216,-0.438715694255586,0.0001109652092841,-2.061748917629668
load03,g2,Current,Tau 0.1,0.637346197626579,-0.3326416230560751,0.000245069846962,-1.4045672005521963
load03,g2,Current,Tau 0.01,0.9730888439293216,-0.438715694255586,0.0001109652092841,-2.061748917629668
load03,g2,Current,Tau 0.01,0.637346197626579,-0.3326416230560751,0.000245069846962,-1.4045672005521963
load03,g2,Active Power,Order 4,0.1627850192695926,-0.3121746469395583,0.1015207290601686,1.3234756385790831
load03,g2,Active Power,Order 6,0.6648713925622578,-0.612667153206519,0.215643192895955,-1.381342118370641
load03,g2,Active Power,Tau 0.1,0.6496547846006733,-0.4733550486723951,0.181514157855928,-1.3157070886927809
load03,g2,Active Power,Tau 0.01,1.0990800473463582,-0.1726314710642414,0.0077106196674404,-0.8436695216495896
load03,g2,Active Power,Tau 0.01,0.9825847561366674,-0.4245888521015318,0.0837561205759697,-2.203111166625745
load03,g2,Active Power,Tau 0.01,0.6371398625294431,-0.3314780027815297,0.1210186310967818,-1.3326373179345523
load03,g2,Reactive Power,Order 6,0.6362727601611943,-0.2922839456415175,0.0306710680461815,-1.0952561661181677
load03,g2,Reactive Power,Tau 0.1,0.6362727601611943,-0.2922839456415175,0.0306710680461815,-1.0952561661181677
load03,g2,Reactive Power,Tau 0.01,0.63740117117558,-0.2946087769831988,0.0373778655123799,-1.051329734015846
load03,g3,Voltage,Order 2,0.6235096849770009,-0.2778906618892142,6.781042923640212e-05,1.5647334801453332
load03,g3,Voltage,Order 4,0.6513860519564649,-0.3352569351189222,7.653541374636834e-05,1.2868377858404054
load03,g3,Voltage,Order 6,0.6350686331607205,-0.4343080043747405,8.611223273582317e-05,1.4089843298631208
load03,g3,Voltage,Tau 1,0.6235096849770009,-0.2778906618892142,6.781042923640212e-05,1.5647334801453332
load03,g3,Voltage,Tau 0.1,0.6513860519564649,-0.3352569351189222,7.653541374636834e-05,1.2868377858404054
load03,g3,Voltage,Tau 0.01,0.6566582430841528,-0.4039770506523775,8.513753025127898e-05,1.2676202485758965
load03,g3,Voltage,Tau 0.01,0.1490672569322564,-0.2848660988869532,1.355078301589213e-05,2.337879396301632
load03,g3,Current,Order 4,0.5461184889770411,-0.3329990881303666,0.0002068785668134,-0.4395482474112439
load03,g3,Current,Order 6,0.6371022871524998,-0.4038147269178062,0.0003418478932517,-1.3435372217698989
load03,g3,Current,Tau 1,0.6366674492960445,-0.4196982748804576,0.0003488515335526,-1.3414348177218465
load03,g3,Current,Tau 0.1,0.972803636977743,-0.4408889735667277,9.777172940530992e-05,-2.0232916195698425
load03,g3,Current,Tau 0.1,0.6357511291695939,-0.3475909109770841,0.0002885260676897,-1.3997209773866843
load03,g3,Current,Tau 0.01,0.972803636977743,-0.4408889735667277,9.777172940530992e-05,-2.0232916195698425
load03,g3,Current,Tau 0.01,0.6357511291695939,-0.3475909109770841,0.0002885260676897,-1.3997209773866843
load03,g3,Active Power,Order 4,0.2375959103544867,-0.2037369851423622,0.058219255948744,0.8549321654029219
load03,g3,Active Power,Order 6,0.6396975657277323,-0.4884023559676957,0.2139545257415387,-1.2759771174605947
load03,g3,Active Power,Tau 0.1,0.6387486664053618,-0.4734830798619739,0.2200769443140122,-1.2694706709093508
load03,g3,Active Power,Tau 0.01,1.1041279690733647,-0.1759869731177615,0.0070833121476212,-0.714318349059285
load03,g3,Active Power,Tau 0.01,0.9801344002118116,-0.4378862457934018,0.0848259360410804,-2.1258022503142
load03,g3,Active Power,Tau 0.01,0.6362306125344113,-0.3415699525040473,0.1635401581654044,-1.331426154111375
load03,g3,Reactive Power,Order 4,0.2703900470669365,-0.2644487148351901,0.0305239991639249,0.3114995958946692
load03,g3,Reactive Power,Order 6,0.6369759305868355,-0.2959863072535956,0.0529666457852237,-1.0994809592396113
load03,g3,Reactive Power,Tau 1,0.6369759305868355,-0.2959863072535956,0.0529666457852237,-1.0994809592396113
load03,g3,Reactive Power,Tau 0.1,0.6369759305868355,-0.2959863072535956,0.0529666457852237,-1.0994809592396113
load03,g3,Reactive Power,Tau 0.01,0.9981263952577728,-0.4074835121429583,0.0086971175549196,0.2646640828715231
load03,g3,Reactive Power,Tau 0.01,0.6393682138890553,-0.333189939396777,0.0575880778200061,-1.151213710637918
