k,kmeans_silhouette,kmedoids_silhouette,kmeans_mad_2d,kmedoids_mad_2d,kmeans_selected_by_silhouette,kmedoids_selected_by_silhouette
2,0.8919097701897556,0.8919097701897556,0.03461573236722194,0.029846739766755944,False,True
3,0.9019210334505877,0.8674899611595677,0.03076955744558178,0.028644693637836702,True,False
4,0.887443423188242,0.887443423188242,0.02868759261226761,0.028335145154431852,False,False
5,0.7893900968628232,0.7893900968628232,0.028608919076174827,0.026660024292293343,False,False
6,0.7838743481984377,0.5140754589738968,0.028135774157347075,0.017649989470957108,False,False
7,0.7965751108775792,0.5221735142079937,0.027250848310330658,0.01220800846029707,False,False
8,0.526112374837487,0.4844779148434115,0.018594559069789948,0.011812468586358645,False,False
9,0.5283517738685486,0.4826373844104531,0.017551251576443105,0.012181633167671154,False,False
10,0.5086202818864918,0.48326219767451584,0.01704197615210096,0.01169838748447161,False,False
