k,Cost,k_selected_by_max_chord
1,109.69585596512536,False
2,63.566908886300325,False
3,41.40875237174462,False
4,30.105834460694453,True
5,23.403615166899847,False
6,20.69475413581595,False
7,18.466411396634165,False
8,16.846788389079357,False
9,15.360253471219911,False
10,13.822224644389966,False
