Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g1,Voltage,Order 2,0.5423764269349866,-0.1302633511612247,0.0027194199402872,1.904139492686604
g1,Voltage,Order 4,0.5424433518427973,-0.1308743874307383,0.0027312344840779,1.9017229821305095
g1,Voltage,Order 6,0.5434845666418048,-0.1251263133978983,0.0025959759093306,1.8476066681025145
g1,Voltage,Order 6,0.5620503917277045,-1.2410552752807875,0.0005246749291391,2.537145479137768
g1,Voltage,Tau 1,0.5423764269349866,-0.1302633511612247,0.0027194199402872,1.904139492686604
g1,Voltage,Tau 0.1,0.5424531953007649,-0.1312103250726453,0.0027382554562441,1.901118800031168
g1,Voltage,Tau 0.01,0.5426860745520858,-0.1270174395217937,0.0026472230725148,1.890882168763332
g1,Current,Order 2,0.5450514549903178,-0.1243723986373887,0.0054411591433044,-1.0001450735094617
g1,Current,Order 4,1.0400109560422364,-0.7987742629489514,0.0034624551321556,2.85747316046946
g1,Current,Order 4,0.5428470725383636,-0.1246195199036114,0.0054304133259646,-0.8985024152837346
g1,Current,Order 6,1.0438527978672372,-0.7766968478615541,0.003385119179553,2.8530375833939714
g1,Current,Order 6,0.5430012237663404,-0.1250429294174322,0.005450892061942,-0.9054209062958531
g1,Current,Tau 1,1.0400109560422364,-0.7987742629489514,0.0034624551321556,2.85747316046946
g1,Current,Tau 1,0.5428470725383636,-0.1246195199036114,0.0054304133259646,-0.8985024152837346
g1,Current,Tau 0.1,1.0434910630544982,-0.7759135628845203,0.0033831903102951,2.8549450540894648
g1,Current,Tau 0.1,0.5430057649430107,-0.1250453714616028,0.0054506575840216,-0.905607425176996
g1,Current,Tau 0.01,1.0421999606580636,-0.763726497224896,0.0033311888636626,2.8711307082952526
g1,Current,Tau 0.01,0.5430691591425387,-0.1253952160998957,0.00546683602768,-0.9091207780106684
g1,Active Power,Order 2,0.5483080256952209,-0.110821409024818,1.9247882250102135,-0.7796237581385402
g1,Active Power,Order 4,1.0434645855261675,-0.8381710706956069,3.2804246861428665,2.811227052260296
g1,Active Power,Order 4,0.5423187699424032,-0.1208738590239785,2.085812049665542,-0.5082155648756848
g1,Active Power,Order 6,1.037612863236748,-0.7318641879113478,2.854840564628979,2.8935859023359183
g1,Active Power,Order 6,0.5432246528894281,-0.1252730802149771,2.164443623767794,-0.557044520960168
g1,Active Power,Tau 1,1.0434645855261675,-0.8381710706956069,3.2804246861428665,2.811227052260296
g1,Active Power,Tau 1,0.5423187699424032,-0.1208738590239785,2.085812049665542,-0.5082155648756848
g1,Active Power,Tau 0.1,1.037691333606754,-0.7322279785023801,2.854664418757797,2.892562032144401
g1,Active Power,Tau 0.1,0.5432150402280431,-0.1251829903556336,2.1632332067468045,-0.5563586742273486
g1,Active Power,Tau 0.01,1.037691333606754,-0.7322279785023801,2.854664418757797,2.892562032144401
g1,Active Power,Tau 0.01,0.5432150402280431,-0.1251829903556336,2.1632332067468045,-0.5563586742273486
g1,Reactive Power,Order 2,0.543361819519195,-0.1250174080353111,5.431121923417437,-0.9881823733013044
g1,Reactive Power,Order 4,0.5434249874959932,-0.1254362755281255,5.448644371771814,-0.990871832752558
g1,Reactive Power,Order 6,0.5430176742043709,-0.1259969522882657,5.469483204125002,-0.9706094668479048
g1,Reactive Power,Order 6,1.0384427873432784,-0.7661111052001573,0.5966263243729814,2.4566266074867507
g1,Reactive Power,Tau 1,0.543361819519195,-0.1250174080353111,5.431121923417437,-0.9881823733013044
g1,Reactive Power,Tau 0.1,0.5434249874959932,-0.1254362755281255,5.448644371771814,-0.990871832752558
g1,Reactive Power,Tau 0.01,0.5430176742043709,-0.1259969522882657,5.469483204125002,-0.9706094668479048
g1,Reactive Power,Tau 0.01,1.0384427873432784,-0.7661111052001573,0.5966263243729814,2.4566266074867507
g2,Voltage,Order 2,0.5425486627083275,-0.1288904904414237,0.0034838651615112,1.9405204927159097
g2,Voltage,Order 4,0.5426099417045034,-0.1293864776565265,0.0034965248600587,1.9382661014705984
g2,Voltage,Order 6,0.5430797614181059,-0.1266840075693408,0.0034223792989325,1.915405203075994
g2,Voltage,Tau 1,0.5425486627083275,-0.1288904904414237,0.0034838651615112,1.9405204927159097
g2,Voltage,Tau 0.1,0.5430696028102069,-0.1262751182827526,0.0034099326898787,1.915808086698172
g2,Voltage,Tau 0.01,0.5430696028102069,-0.1262751182827526,0.0034099326898787,1.915808086698172
g2,Current,Order 2,0.5415091882370119,-0.1252315861118368,0.006171149808076,-0.8262534300432383
g2,Current,Order 4,0.542529416137662,-0.1008583802556405,0.0052147604581013,-0.861186312447885
g2,Current,Order 4,0.3073587450532696,-0.8368051217794196,0.002571817625613,0.5564919800503008
g2,Current,Order 6,1.0523872706091697,-0.7755657563583377,0.0035625522755378,-0.220143413046635
g2,Current,Order 6,0.5429935300693035,-0.1255953750386957,0.0062070673281582,-0.9038882631136216
g2,Current,Tau 1,0.5415091882370119,-0.1252315861118368,0.006171149808076,-0.8262534300432383
g2,Current,Tau 0.1,0.5415091882370119,-0.1252315861118368,0.006171149808076,-0.8262534300432383
g2,Current,Tau 0.01,1.0523872706091697,-0.7755657563583377,0.0035625522755378,-0.220143413046635
g2,Current,Tau 0.01,0.5429935300693035,-0.1255953750386957,0.0062070673281582,-0.9038882631136216
g2,Active Power,Order 2,0.5393190659608806,-0.1436963291820598,1.7116649502351255,-0.0798330756443144
g2,Active Power,Order 4,1.0475784668385906,-0.7187704182476881,3.1239699858511565,-0.1237426124450952
g2,Active Power,Order 4,0.5418668656094149,-0.121980525742412,1.4798139142422724,-0.256911149084003
g2,Active Power,Order 6,1.0585194872305648,-0.773485917028473,3.3436701469075945,-0.2206524392048951
g2,Active Power,Order 6,0.5431138053119303,-0.1233552430844875,1.4947648624400451,-0.322722453113679
g2,Active Power,Tau 1,1.0475784668385906,-0.7187704182476881,3.1239699858511565,-0.1237426124450952
g2,Active Power,Tau 1,0.5418668656094149,-0.121980525742412,1.4798139142422724,-0.256911149084003
g2,Active Power,Tau 0.1,1.057420657565611,-0.7608985811612223,3.289111683629879,-0.2104229912440968
g2,Active Power,Tau 0.1,0.5429841167294838,-0.1224168085066446,1.4832935742575588,-0.3160889486088141
g2,Active Power,Tau 0.01,1.0585194872305648,-0.773485917028473,3.3436701469075945,-0.2206524392048951
g2,Active Power,Tau 0.01,0.5431138053119303,-0.1233552430844875,1.4947648624400451,-0.322722453113679
g2,Reactive Power,Order 2,0.5428108402888734,-0.1260326836370272,6.569172528606528,-0.9079778046884076
g2,Reactive Power,Order 4,0.5428773593136058,-0.1264226506168513,6.588162325985104,-0.9107771875356568
g2,Reactive Power,Order 6,0.5430270755754858,-0.1256238772846506,6.547287323257848,-0.9185320656039668
g2,Reactive Power,Order 6,1.078932635023225,-0.6636094485084875,0.3511846827502108,-1.5410606625509788
g2,Reactive Power,Tau 1,0.5428108402888734,-0.1260326836370272,6.569172528606528,-0.9079778046884076
g2,Reactive Power,Tau 0.1,0.5428938880473616,-0.1266025962747454,6.596592797938905,-0.91158015352321
