Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.326423107980594,0.326423107980594,0.3668720830135591
Order 4,Mode 1,0.6062,-0.08,16,0.34554552970191527,0.4057737003893644,0.7312161031070976
Order 6,Mode 1,0.6062,-0.08,17,0.2520689009861087,0.2688517765489935,0.7175414651217187
Tau 0.01,Mode 1,0.6062,-0.08,22,0.26014552294030835,0.33189439948355726,0.7175414651217187
Tau 0.01,Mode 3,1.0312,-0.2558,1,0.09447616330035861,0.09447616330035861,0.09447616330035861
Tau 0.01,Mode 4,1.1211,-0.3373,10,0.39069047322853534,0.3656008774232809,0.4502280761723786
Tau 0.1,Mode 1,0.6062,-0.08,18,0.25983149911548775,0.30649105993293263,0.7312161031070976
Tau 0.1,Mode 4,1.1211,-0.3373,8,0.44987998330650086,0.43638605778425255,0.48776236128239747
Tau 1,Mode 1,0.6062,-0.08,14,0.3136775008006439,0.3432414764647578,0.7312161031070976
Tau 1,Mode 4,1.1211,-0.3373,1,0.48776236128239747,0.48776236128239747,0.48776236128239747
