Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.2882120236768833,0.2882120236768833,0.3707021026391286
Order 4,Mode 1,0.6062,-0.08,15,0.2941225234950813,0.3330792640918431,0.6877769480127266
Order 6,Mode 1,0.6062,-0.08,18,0.30443301975488823,0.3311056163172936,0.6452911734434247
Tau 0.01,Mode 1,0.6062,-0.08,24,0.26352269217040913,0.3497036417928758,0.8428738843090433
Tau 0.01,Mode 4,1.1211,-0.3373,12,0.33412844012311393,0.29715221016067767,0.4523652353478277
Tau 0.01,Mode 5,1.3155,-0.4033,1,0.3311054668172687,0.3311054668172687,0.3311054668172687
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.3597503257274587,0.3597503257274587,0.3597503257274587
Tau 0.1,Mode 1,0.6062,-0.08,19,0.2747870871713678,0.34909384896986095,0.7132363922644647
Tau 0.1,Mode 4,1.1211,-0.3373,5,0.3827251917295315,0.3876185590421768,0.4523652353478277
Tau 1,Mode 1,0.6062,-0.08,15,0.3170198349819062,0.3480367393569824,0.6877769480127266
