k,Cost,k_selected_by_max_chord
1,59.12810083299285,False
2,45.64259261027267,False
3,34.69532591479602,False
4,26.373023678942484,False
5,19.412879111372153,False
6,13.486632072923692,True
7,10.754833048357877,False
8,9.190085051046136,False
9,7.923879027808647,False
10,6.821460079552719,False
