Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Mode 1,0.6062,-0.08,4,0.2909297028237195,0.28196649094596643,0.2937610083299345
g1,Current,Mode 1,0.6062,-0.08,4,0.2633663378660398,0.2659259746012358,0.28321139319683375
g1,Reactive Power,Mode 1,0.6062,-0.08,11,0.3216094398026589,0.4344119214576954,0.9106102976796325
g1,Reactive Power,Mode 4,1.1211,-0.3373,2,0.41891221976294163,0.41891221976294163,0.5371083667285297
g1,Voltage,Mode 1,0.6062,-0.08,6,0.28481462099786004,0.3683246392297555,0.638104858616641
g1,Voltage,Mode 7,1.4953,-0.7033,1,0.5853044127193616,0.5853044127193616,0.5853044127193616
g10,Active Power,Mode 1,0.6062,-0.08,3,0.25058369027672894,0.3047258555548955,0.4655039037535088
g10,Active Power,Mode 3,1.0312,-0.2558,2,0.14693468945882854,0.14693468945882854,0.23002233115349233
g10,Active Power,Mode 4,1.1211,-0.3373,2,0.11630680484264361,0.11630680484264361,0.21144037118395606
g10,Current,Mode 1,0.6062,-0.08,7,0.36097322813306454,0.35495651535536554,0.48371665514862927
g10,Current,Mode 3,1.0312,-0.2558,2,0.05442991224692596,0.05442991224692596,0.05442991224692596
g10,Reactive Power,Mode 1,0.6062,-0.08,9,0.4582416854339951,0.3847240932426298,0.5020321750382816
g10,Reactive Power,Mode 4,1.1211,-0.3373,2,0.2862189249443282,0.2862189249443282,0.2862189249443282
g10,Voltage,Mode 1,0.6062,-0.08,12,0.4807742476051985,0.45319604907063993,0.7727426388040048
g10,Voltage,Mode 3,1.0312,-0.2558,1,0.36090422644852915,0.36090422644852915,0.36090422644852915
g10,Voltage,Mode 4,1.1211,-0.3373,3,0.28605082822396705,0.26581395463514945,0.2988730515753423
g8,Active Power,Mode 1,0.6062,-0.08,4,0.1918683171939114,0.19304043926025927,0.1981905811670041
g8,Active Power,Mode 3,1.0312,-0.2558,2,0.025021810984156092,0.025021810984156092,0.025021810984156092
g8,Current,Mode 1,0.6062,-0.08,6,0.266541386656341,0.2925486838455183,0.4811023024450226
g8,Current,Mode 3,1.0312,-0.2558,1,0.05661096291006227,0.05661096291006227,0.05661096291006227
g8,Current,Mode 4,1.1211,-0.3373,1,0.26506284770936805,0.26506284770936805,0.26506284770936805
g8,Current,Mode 5,1.3155,-0.4033,1,0.2809532028399914,0.2809532028399914,0.2809532028399914
g8,Reactive Power,Mode 1,0.6062,-0.08,4,0.32907179290059163,0.38649117667796495,0.616771246626391
g8,Reactive Power,Mode 4,1.1211,-0.3373,2,0.2785942326353318,0.2785942326353318,0.2999027257468629
g8,Voltage,Mode 1,0.6062,-0.08,5,0.24125234325882272,0.289106763202731,0.480524442978364
g9,Active Power,Mode 1,0.6062,-0.08,4,0.26936180928055053,0.2641810141035617,0.27485961806329356
g9,Active Power,Mode 4,1.1211,-0.3373,5,0.25883031149615765,0.24355417406147542,0.26132508237928503
g9,Current,Mode 1,0.6062,-0.08,6,0.29236224340581746,0.3587446655946647,0.5148715482683952
g9,Current,Mode 4,1.1211,-0.3373,5,0.2502915128537988,0.25755893008242003,0.2837013999742583
g9,Reactive Power,Mode 1,0.6062,-0.08,10,0.4575228183117134,0.45053882793010097,0.7418727690905245
g9,Reactive Power,Mode 3,1.0312,-0.2558,1,0.20280730555548201,0.20280730555548201,0.20280730555548201
g9,Reactive Power,Mode 4,1.1211,-0.3373,4,0.23412202014250189,0.20643677508062888,0.2718554975604549
g9,Voltage,Mode 1,0.6062,-0.08,8,0.3641473740976552,0.4210822137004367,0.7041078020189938
g9,Voltage,Mode 3,1.0312,-0.2558,2,0.2181940769035106,0.2181940769035106,0.22125112311151027
g9,Voltage,Mode 4,1.1211,-0.3373,4,0.23496421022052463,0.1801763665330849,0.23838434297954444
