k,kmeans_silhouette,kmedoids_silhouette,kmeans_selected_by_silhouette,kmedoids_selected_by_silhouette
2,0.4772942977739237,0.47833246149239517,False,False
3,0.544017025394569,0.540995376196191,False,False
4,0.6022440546756131,0.5949753487343212,False,False
5,0.6116404974946649,0.6366680785415126,False,False
6,0.6664585707607581,0.6596924355535414,True,True
7,0.6264048298025415,0.600500754947724,False,False
8,0.6329573566860491,0.45478882474692134,False,False
9,0.6237607050486434,0.5326955589560753,False,False
10,0.5783954915740881,0.4741437663832081,False,False
