Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.2528596917885506,0.2528596917885506,0.29451401341323585
Order 4,Mode 1,0.6062,-0.08,6,0.20495968413537569,0.2850869146913994,0.6859322358630149
Order 4,Mode 3,1.0312,-0.2558,2,0.24939568158208136,0.24939568158208136,0.2948934014945056
Order 6,Mode 1,0.6062,-0.08,5,0.29553614353075575,0.3826340126328664,0.7717702583796789
Order 6,Mode 3,1.0312,-0.2558,4,0.29079979374149567,0.28092082438578536,0.3038745309740369
Tau 0.01,Mode 1,0.6062,-0.08,16,0.32064414499122174,0.4079101460284427,0.8500494836440777
Tau 0.01,Mode 3,1.0312,-0.2558,2,0.11746136656614838,0.11746136656614838,0.1338626742906374
Tau 0.01,Mode 4,1.1211,-0.3373,8,0.15562496528469105,0.1478666140776591,0.2126814766823126
Tau 0.1,Mode 1,0.6062,-0.08,9,0.28537933665636034,0.36851838455327846,0.7717702583796789
Tau 0.1,Mode 3,1.0312,-0.2558,1,0.1338626742906374,0.1338626742906374,0.1338626742906374
Tau 0.1,Mode 4,1.1211,-0.3373,3,0.16656261621493934,0.16097394163671366,0.17234401137056074
Tau 1,Mode 1,0.6062,-0.08,7,0.24882618382728944,0.30345575634430844,0.6859322358630149
Tau 1,Mode 4,1.1211,-0.3373,2,0.17351384815671844,0.17351384815671844,0.20358919278107834
