k,Cost,k_selected_by_max_chord
1,165.67744193907882,False
2,116.89394275246808,False
3,82.11237251296365,False
4,66.9675524284626,True
5,56.92273168690291,False
6,50.13569058667578,False
7,45.68726490177029,False
8,41.48026401392583,False
9,36.99088715611748,False
10,33.52788059633481,False
