k,WCSS,k_selected_by_max_chord
1,252.00000000000003,False
2,151.79621731767187,False
3,97.00435887159722,False
4,55.66995398354112,True
5,39.24015090446355,False
6,26.971226322420378,False
7,21.70662024717456,False
8,17.283405710595233,False
9,13.939864709335088,False
10,11.317629524913029,False
