Gen,Signal,Method,R2,RMSE,Poles
g4,Reactive Power,Order 6,-0.6673770772717049,0.12766478573383314,2
g4,Reactive Power,Tau 1,-0.6673770772717049,0.12766478573383314,2
g4,Reactive Power,Tau 0.1,-0.6673770772717049,0.12766478573383314,2
g4,Reactive Power,Tau 0.01,-0.6673770772717049,0.12766478573383314,2
g5,Voltage,Order 2,0.8520277597677129,9.512785617773216e-06,1
g5,Voltage,Order 4,0.9958724826259673,1.5887736927602222e-06,2
g5,Voltage,Order 6,0.9936275288512422,1.9741107979243268e-06,2
g5,Voltage,Tau 1,0.9958724826259673,1.5887736927602222e-06,2
g5,Voltage,Tau 0.1,0.9958724826259673,1.5887736927602222e-06,2
g5,Voltage,Tau 0.01,0.9998826622010862,2.6787769522026286e-07,7
g5,Current,Order 2,0.480554252691073,0.00010499001155765611,1
g5,Current,Order 4,0.9393103981147124,3.5886824455988954e-05,2
g5,Current,Order 6,0.9663008217255062,2.674160943298262e-05,3
g5,Current,Tau 1,0.9328525951204822,3.7747874486858926e-05,2
g5,Current,Tau 0.1,0.9487519991189006,3.297739531682771e-05,3
g5,Current,Tau 0.01,0.9993269924241108,3.779095461403368e-06,4
g5,Active Power,Order 2,0.6185679186718676,0.05720205888890115,1
g5,Active Power,Order 4,0.9030583407571086,0.028837544406510963,2
g5,Active Power,Order 6,0.9660925220235347,0.0170549635698174,3
g5,Active Power,Tau 1,0.9059517165158991,0.02840393359378685,2
g5,Active Power,Tau 0.1,0.12688842273597833,0.0865441915541252,2
g5,Active Power,Tau 0.01,0.9994754992460257,0.0021211730971180233,4
g5,Reactive Power,Order 2,0.6086606916695971,0.01694901874795248,1
g5,Reactive Power,Order 4,0.9171111919153806,0.0078003801932194534,2
g5,Reactive Power,Order 6,0.9886083438810557,0.0028917534123807506,3
g5,Reactive Power,Tau 1,0.9886083438810557,0.0028917534123807506,3
g5,Reactive Power,Tau 0.1,0.9886083438810557,0.0028917534123807506,3
g5,Reactive Power,Tau 0.01,0.9996694656383296,0.0004925792700257114,5
g6,Voltage,Order 4,0.9537099476236082,9.079157751751173e-06,2
g6,Voltage,Order 6,0.9972049396839309,2.2309884304233916e-06,3
g6,Voltage,Tau 0.1,0.5794974631106576,2.736440667977991e-05,2
g6,Voltage,Tau 0.01,0.9991881084750812,1.2024048794697443e-06,4
g6,Current,Order 2,0.6408598365880787,0.00010249783700023741,1
g6,Current,Order 4,0.9177664847643089,4.904640052632856e-05,2
g6,Current,Order 6,0.987692004355875,1.89747638500607e-05,3
g6,Current,Tau 1,0.9347871175950823,4.367665908072898e-05,2
g6,Current,Tau 0.1,0.9996810098523201,3.054719571933824e-06,4
g6,Current,Tau 0.01,0.9996810098523201,3.054719571933824e-06,4
g6,Active Power,Order 2,0.673159024981578,0.06824485403330811,1
g6,Active Power,Order 4,0.8733745508893447,0.04247781409234538,2
g6,Active Power,Order 6,0.9799644049430432,0.01689673462598052,3
g6,Active Power,Tau 1,0.9128061673181467,0.0352488168708491,2
g6,Active Power,Tau 0.1,0.08646805490722953,0.11409419010032291,2
