Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.35057750543629407,0.35057750543629407,0.550974463918905
Order 4,Mode 1,0.6062,-0.08,13,0.4167310794402537,0.39075273363979923,0.5419240882282257
Order 4,Mode 3,1.0312,-0.2558,1,0.2351610463630505,0.2351610463630505,0.2351610463630505
Order 6,Mode 1,0.6062,-0.08,14,0.2909241727731444,0.3141123670157851,0.5006327839463238
Order 6,Mode 3,1.0312,-0.2558,5,0.31215442767712814,0.28023620962114665,0.3767518354954687
Tau 0.01,Mode 1,0.6062,-0.08,25,0.2791164143522889,0.3652651114599642,0.7472980395537339
Tau 0.01,Mode 4,1.1211,-0.3373,13,0.20369597788248148,0.17061100443301042,0.2633075462093906
Tau 0.01,Mode 7,1.4953,-0.7033,2,0.32835266815265585,0.32835266815265585,0.3347560177710541
Tau 0.1,Mode 1,0.6062,-0.08,18,0.2672663704358045,0.32399850540611874,0.6549353516568078
Tau 0.1,Mode 3,1.0312,-0.2558,1,0.3767518354954687,0.3767518354954687,0.3767518354954687
Tau 0.1,Mode 4,1.1211,-0.3373,5,0.1818899856601236,0.1631453915869411,0.20369597788248148
Tau 1,Mode 1,0.6062,-0.08,12,0.2770751387277057,0.3485420123630159,0.7300195838940603
Tau 1,Mode 3,1.0312,-0.2558,1,0.2544208284332279,0.2544208284332279,0.2544208284332279
Tau 1,Mode 4,1.1211,-0.3373,1,0.15979313909560322,0.15979313909560322,0.15979313909560322
