Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.18866213159785947,0.18866213159785947,0.20391414310506542
Order 4,Mode 1,0.6062,-0.08,7,0.26830166083633866,0.2693141986902109,0.3688182302724858
Order 6,Mode 1,0.6062,-0.08,9,0.27776328780213627,0.32341047929875455,0.811848047078808
Tau 0.01,Mode 1,0.6062,-0.08,13,0.29932118972018884,0.3827253426604053,0.6575269965395655
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.10080562501288481,0.09542673286458908,0.1110103493768078
Tau 0.01,Mode 4,1.1211,-0.3373,5,0.19221147819433682,0.1998058357206613,0.254660348092464
Tau 0.1,Mode 1,0.6062,-0.08,8,0.2929345185958676,0.3447497677587887,0.567753448438764
Tau 0.1,Mode 4,1.1211,-0.3373,2,0.1878002900109526,0.1878002900109526,0.19221147819433682
Tau 1,Mode 1,0.6062,-0.08,4,0.21780914155119574,0.19255806578567378,0.2796914477478844
