Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g2,Active Power,Mode 1,0.6062,-0.08,3,0.2654105036281396,0.29804941871151863,0.3688182302724858
g2,Active Power,Mode 4,1.1211,-0.3373,1,0.17576940903163674,0.17576940903163674,0.17576940903163674
g2,Current,Mode 1,0.6062,-0.08,4,0.26438895480543045,0.2667486446670346,0.2760766340362866
g2,Current,Mode 4,1.1211,-0.3373,2,0.1833891018275684,0.1833891018275684,0.1833891018275684
g2,Reactive Power,Mode 1,0.6062,-0.08,3,0.30617758944385076,0.30549529415685805,0.30617758944385076
g2,Voltage,Mode 1,0.6062,-0.08,10,0.3329150198408018,0.3341311376706665,0.6575269965395655
g2,Voltage,Mode 3,1.0312,-0.2558,2,0.08763492460847971,0.08763492460847971,0.10080562501288481
g3,Active Power,Mode 1,0.6062,-0.08,3,0.27776328780213627,0.2829429561536038,0.3208605184627432
g3,Active Power,Mode 4,1.1211,-0.3373,1,0.19299884145730062,0.19299884145730062,0.19299884145730062
g3,Current,Mode 1,0.6062,-0.08,5,0.262208163011738,0.2637963457980359,0.27157248202142314
g3,Current,Mode 4,1.1211,-0.3373,2,0.19221147819433682,0.19221147819433682,0.19221147819433682
g3,Reactive Power,Mode 1,0.6062,-0.08,6,0.2796914477478844,0.31390095475236696,0.6522598673219784
g3,Reactive Power,Mode 3,1.0312,-0.2558,1,0.1110103493768078,0.1110103493768078,0.1110103493768078
g3,Voltage,Mode 1,0.6062,-0.08,9,0.24341061402947894,0.3785246008410149,0.811848047078808
g3,Voltage,Mode 4,1.1211,-0.3373,1,0.254660348092464,0.254660348092464,0.254660348092464
