Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,6,0.22345962890727966,0.261063553390578,0.4714712052226566
Order 4,Mode 1,0.6062,-0.08,32,0.2720527588405828,0.2871124009619576,0.5072427505700213
Order 6,Mode 1,0.6062,-0.08,46,0.2642113018093901,0.2969801751977328,0.7763938535519036
Tau 0.01,Mode 1,0.6062,-0.08,62,0.2699927374406733,0.4059178112775048,1.5564368281132297
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.08163444487025442,0.12526415217990158,0.22428859368281848
Tau 0.01,Mode 4,1.1211,-0.3373,24,0.20600963323935828,0.2055645091513373,0.35986598824380567
Tau 0.01,Mode 5,1.3155,-0.4033,4,0.14348762315142044,0.1629001935654503,0.33082019770919086
Tau 0.01,Mode 7,1.4953,-0.7033,4,0.33964445735258153,0.3398033429846323,0.3986643323425314
Tau 0.1,Mode 1,0.6062,-0.08,49,0.26755573883846706,0.34981178929183704,0.9205033831786639
Tau 0.1,Mode 3,1.0312,-0.2558,3,0.1546694167750943,0.13219213287113918,0.17725259208965094
Tau 0.1,Mode 4,1.1211,-0.3373,11,0.2573852093711283,0.2331940398225414,0.35986598824380567
Tau 0.1,Mode 7,1.4953,-0.7033,2,0.36414998124918796,0.36414998124918796,0.36994544297436
Tau 1,Mode 1,0.6062,-0.08,28,0.2652499667775997,0.3241729524239817,0.7789048509370265
