Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Mode 1,0.6062,-0.08,5,0.2529083185068241,0.2561464463452171,0.27607499855275597
g1,Current,Mode 1,0.6062,-0.08,5,0.2508430559906139,0.2523384254257047,0.25863238616671563
g1,Reactive Power,Mode 1,0.6062,-0.08,8,0.2656398235318879,0.42303278828465135,1.0460973695682958
g1,Reactive Power,Mode 3,1.0312,-0.2558,1,0.06986941798663182,0.06986941798663182,0.06986941798663182
g1,Voltage,Mode 1,0.6062,-0.08,3,0.266074821543786,0.266074821543786,0.266074821543786
g10,Active Power,Mode 1,0.6062,-0.08,1,0.40705158587263424,0.40705158587263424,0.40705158587263424
g10,Current,Mode 1,0.6062,-0.08,6,0.2651253771794078,0.3401070505167511,0.5047273071987615
g10,Current,Mode 4,1.1211,-0.3373,2,0.10625834843597282,0.10625834843597282,0.10627599872403089
g10,Reactive Power,Mode 1,0.6062,-0.08,8,0.37923479167837737,0.3711502222126542,0.5026089801416727
g10,Reactive Power,Mode 4,1.1211,-0.3373,1,0.2935325275161047,0.2935325275161047,0.2935325275161047
g10,Voltage,Mode 1,0.6062,-0.08,12,0.4752961209486011,0.39720808872112573,0.5991727931138149
g10,Voltage,Mode 3,1.0312,-0.2558,1,0.17725259208965094,0.17725259208965094,0.17725259208965094
g10,Voltage,Mode 4,1.1211,-0.3373,1,0.15421078332679458,0.15421078332679458,0.15421078332679458
g2,Active Power,Mode 1,0.6062,-0.08,4,0.28030311457884427,0.29848178297575123,0.3651162875793468
g2,Active Power,Mode 4,1.1211,-0.3373,2,0.27300696575539257,0.27300696575539257,0.27300696575539257
g2,Current,Mode 1,0.6062,-0.08,4,0.2742325207908003,0.27823159825400995,0.30021482185592036
g2,Current,Mode 4,1.1211,-0.3373,2,0.2607541176628301,0.2607541176628301,0.2607541176628301
g2,Reactive Power,Mode 1,0.6062,-0.08,3,0.299177854185528,0.29855054186034613,0.299177854185528
g2,Voltage,Mode 1,0.6062,-0.08,10,0.2656580497156758,0.3688394422624796,0.673444281447612
g3,Active Power,Mode 1,0.6062,-0.08,4,0.2737595810519639,0.2776566137808956,0.32112058990710224
g3,Active Power,Mode 4,1.1211,-0.3373,2,0.35986598824380567,0.35986598824380567,0.35986598824380567
g3,Current,Mode 1,0.6062,-0.08,5,0.27843176827709126,0.26990251340565746,0.28617898749864146
g3,Current,Mode 4,1.1211,-0.3373,2,0.33900634115439643,0.33900634115439643,0.33900634115439643
g3,Reactive Power,Mode 1,0.6062,-0.08,6,0.27314139068212717,0.3403580280041764,0.6259760223946573
g3,Reactive Power,Mode 4,1.1211,-0.3373,1,0.154685022798183,0.154685022798183,0.154685022798183
g3,Voltage,Mode 1,0.6062,-0.08,8,0.2729863043028156,0.32982604232619284,0.5819597926301713
g3,Voltage,Mode 4,1.1211,-0.3373,2,0.2573852093711283,0.2573852093711283,0.2573852093711283
g4,Active Power,Mode 1,0.6062,-0.08,4,0.2748442500114464,0.27631668276896065,0.30820611621907223
g4,Active Power,Mode 4,1.1211,-0.3373,1,0.21871495101718458,0.21871495101718458,0.21871495101718458
g4,Active Power,Mode 7,1.4953,-0.7033,2,0.31980732220742525,0.31980732220742525,0.3583545195240159
g4,Current,Mode 1,0.6062,-0.08,4,0.2529888855438048,0.25836297225658206,0.29348378836104966
g4,Current,Mode 4,1.1211,-0.3373,1,0.17365199087057676,0.17365199087057676,0.17365199087057676
g4,Current,Mode 7,1.4953,-0.7033,2,0.3843048876584457,0.3843048876584457,0.3986643323425314
g4,Reactive Power,Mode 1,0.6062,-0.08,3,0.2520845814402483,0.24749089528633827,0.2520845814402483
g4,Voltage,Mode 1,0.6062,-0.08,5,0.2193267412934338,0.22793349711465866,0.26236052039955815
g5,Active Power,Mode 1,0.6062,-0.08,5,0.2702211546609709,0.2683938075873317,0.28275722185209645
g5,Active Power,Mode 4,1.1211,-0.3373,2,0.3160107475795881,0.3160107475795881,0.3412287008637774
g5,Active Power,Mode 7,1.4953,-0.7033,1,0.3807677468427314,0.3807677468427314,0.3807677468427314
g5,Current,Mode 1,0.6062,-0.08,5,0.27574696227674333,0.27816636018097946,0.29734877283465816
g5,Current,Mode 4,1.1211,-0.3373,1,0.30436091368781465,0.30436091368781465,0.30436091368781465
g5,Current,Mode 7,1.4953,-0.7033,1,0.29852116786243166,0.29852116786243166,0.29852116786243166
g5,Reactive Power,Mode 1,0.6062,-0.08,7,0.5072427505700213,0.4236046017687399,0.6035676755871556
g5,Voltage,Mode 1,0.6062,-0.08,11,0.32760086516159576,0.4755827192028312,0.7789048509370265
g6,Active Power,Mode 1,0.6062,-0.08,4,0.2549485904790809,0.25781945374602383,0.26755573883846706
g6,Active Power,Mode 3,1.0312,-0.2558,1,0.06465438974867233,0.06465438974867233,0.06465438974867233
g6,Active Power,Mode 4,1.1211,-0.3373,1,0.23639712642710628,0.23639712642710628,0.23639712642710628
g6,Active Power,Mode 5,1.3155,-0.4033,1,0.21392502476093403,0.21392502476093403,0.21392502476093403
g6,Current,Mode 1,0.6062,-0.08,4,0.2569129232131778,0.2576336082957439,0.27178085971537713
g6,Current,Mode 3,1.0312,-0.2558,1,0.08163444487025442,0.08163444487025442,0.08163444487025442
g6,Reactive Power,Mode 1,0.6062,-0.08,2,0.2402805750933979,0.2402805750933979,0.24533192468572532
g6,Voltage,Mode 1,0.6062,-0.08,5,0.2648418838395236,0.25875520794579454,0.2738843630201947
g7,Active Power,Mode 1,0.6062,-0.08,4,0.2380399267269051,0.24097465166908805,0.2497788264956369
g7,Current,Mode 1,0.6062,-0.08,4,0.2520250349272977,0.2512229578584283,0.2533331905459581
