k,Cost,k_selected_by_max_chord
1,297.82950008175305,False
2,234.1652847547212,False
3,169.93101875818166,False
4,139.71395308416803,False
5,109.96165116311815,True
6,90.88520708838057,False
7,82.3284492839515,False
8,71.8101786163954,False
9,63.641041328196714,False
10,59.541365820449705,False
