Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,5,0.3342923154720683,0.3376587084611689,0.550974463918905
Order 4,Mode 1,0.6062,-0.08,36,0.3909926805802375,0.3980584060953407,0.7312161031070976
Order 4,Mode 3,1.0312,-0.2558,1,0.2351610463630505,0.2351610463630505,0.2351610463630505
Order 6,Mode 1,0.6062,-0.08,40,0.26407642567028616,0.2903356467244012,0.7175414651217187
Order 6,Mode 3,1.0312,-0.2558,5,0.31215442767712814,0.28023620962114665,0.3767518354954687
Tau 0.01,Mode 1,0.6062,-0.08,56,0.2625261012631759,0.3365340817713169,0.7472980395537339
Tau 0.01,Mode 3,1.0312,-0.2558,4,0.0795669174860682,0.08176727013025471,0.09447616330035861
Tau 0.01,Mode 4,1.1211,-0.3373,28,0.20851321888886126,0.24037560333080665,0.4502280761723786
Tau 0.01,Mode 7,1.4953,-0.7033,2,0.32835266815265585,0.32835266815265585,0.3347560177710541
Tau 0.1,Mode 1,0.6062,-0.08,45,0.2599007473362758,0.3059184886627906,0.7312161031070976
Tau 0.1,Mode 3,1.0312,-0.2558,3,0.16399832821245316,0.20473641531881523,0.3767518354954687
Tau 0.1,Mode 4,1.1211,-0.3373,16,0.2813126662324812,0.30296492532457275,0.48776236128239747
Tau 1,Mode 1,0.6062,-0.08,32,0.30147971564935594,0.3417297114576662,0.7312161031070976
Tau 1,Mode 3,1.0312,-0.2558,1,0.2544208284332279,0.2544208284332279,0.2544208284332279
Tau 1,Mode 4,1.1211,-0.3373,2,0.32377775018900035,0.32377775018900035,0.48776236128239747
