k,WCSS,k_selected_by_max_chord
1,547.9999999999999,False
2,341.37798572889847,False
3,220.0508989634916,False
4,132.0555838105465,True
5,93.04834526537769,False
6,63.8680864428875,False
7,47.57426166059796,False
8,40.480537349850536,False
9,34.26289348566695,False
10,28.07893675367078,False
