Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,113,0.30358149932463374,0.40048551004374777,1.004003048664992
Mode 3,1.0312,-0.2558,4,0.3290940550454064,0.3239227500991629,0.3392196268619172
Mode 4,1.1211,-0.3373,27,0.2221695103626882,0.21495577578000813,0.3883749150100434
Mode 7,1.4953,-0.7033,1,1.4887484847974062,1.4887484847974062,1.4887484847974062
