Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,4,0.400606939343352,0.3810697213759256,0.5154906171001673
Order 4,Mode 1,0.6062,-0.08,17,0.28934546127982924,0.3292035683565722,0.504550274790107
Order 6,Mode 1,0.6062,-0.08,19,0.2960234485298383,0.37674498804215356,0.7381911984555002
Order 6,Mode 3,1.0312,-0.2558,3,0.33169365374420107,0.33246924565091,0.3392196268619172
Order 6,Mode 4,1.1211,-0.3373,1,0.21898079983460622,0.21898079983460622,0.21898079983460622
Tau 0.01,Mode 1,0.6062,-0.08,33,0.46620246768227425,0.4854096319451155,1.004003048664992
Tau 0.01,Mode 4,1.1211,-0.3373,15,0.2375568880184888,0.211046805937126,0.3883749150100434
Tau 0.1,Mode 1,0.6062,-0.08,23,0.2856343044914414,0.38165867601096076,1.004003048664992
Tau 0.1,Mode 4,1.1211,-0.3373,9,0.22125832975484958,0.2214014068203151,0.24769148701191115
Tau 0.1,Mode 7,1.4953,-0.7033,1,1.4887484847974062,1.4887484847974062,1.4887484847974062
Tau 1,Mode 1,0.6062,-0.08,17,0.28568371283341853,0.36348828894919055,0.7204251396714934
Tau 1,Mode 3,1.0312,-0.2558,1,0.29828326344392153,0.29828326344392153,0.29828326344392153
Tau 1,Mode 4,1.1211,-0.3373,2,0.21325519789294356,0.21325519789294356,0.2351387873172091
