k,Cost,k_selected_by_max_chord
1,59.12810083298836,False
2,45.64259261028232,False
3,34.69532591480029,False
4,26.37302367896069,False
5,19.412879111362138,False
6,13.486632072909748,True
7,10.754833048352884,False
8,9.190085051028372,False
9,7.923879027796065,False
10,6.82146007953984,False
