Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,6,0.20984504033392476,0.25190875117064165,0.4541414344620868
Order 4,Mode 1,0.6062,-0.08,30,0.2765671322165253,0.3043720181140912,0.5689731130516006
Order 4,Mode 3,1.0312,-0.2558,1,0.40200324070672255,0.40200324070672255,0.40200324070672255
Order 4,Mode 4,1.1211,-0.3373,1,0.22397020576887394,0.22397020576887394,0.22397020576887394
Order 6,Mode 1,0.6062,-0.08,47,0.27038327136061063,0.3183387803377233,0.8358123301649392
Order 6,Mode 3,1.0312,-0.2558,2,0.12559697067178116,0.12559697067178116,0.14873105182705462
Order 6,Mode 4,1.1211,-0.3373,2,0.2661598302752446,0.2661598302752446,0.34543838672433763
Tau 0.01,Mode 1,0.6062,-0.08,69,0.28456852311772085,0.4240502870657954,1.104732730068558
Tau 0.01,Mode 3,1.0312,-0.2558,9,0.09095884009840281,0.08842511091852515,0.14943620779772646
Tau 0.01,Mode 4,1.1211,-0.3373,31,0.24565967900429708,0.23926657283615288,0.814693902668806
Tau 0.01,Mode 5,1.3155,-0.4033,1,0.07115553897551491,0.07115553897551491,0.07115553897551491
Tau 0.01,Mode 7,1.4953,-0.7033,3,0.20879043400987898,0.33742421202901185,0.6166715151683392
Tau 0.1,Mode 1,0.6062,-0.08,50,0.2702884247681172,0.35969729230218633,0.9608594256734159
Tau 0.1,Mode 4,1.1211,-0.3373,18,0.2308911393577937,0.23283157028600743,0.3294285302799933
Tau 1,Mode 1,0.6062,-0.08,31,0.2704158328825105,0.3285171849767914,0.8358123301649392
Tau 1,Mode 3,1.0312,-0.2558,1,0.10854443204477854,0.10854443204477854,0.10854443204477854
Tau 1,Mode 4,1.1211,-0.3373,2,0.3830518468175659,0.3830518468175659,0.4439486178243947
