k,Cost,k_selected_by_max_chord
1,64.98458204494952,False
2,49.68710683189332,False
3,35.91713465692484,False
4,26.29337143291123,True
5,21.271990980465635,False
6,16.90229164464065,False
7,14.669337300156508,False
8,12.536751846556761,False
9,10.69760074342171,False
10,9.480126563820333,False
