Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g4,Active Power,Mode 1,0.6062,-0.08,5,0.30923921546241134,0.33401083328548203,0.4718663845661187
g4,Active Power,Mode 4,1.1211,-0.3373,2,0.3737972014863367,0.3737972014863367,0.3737972014863367
g4,Current,Mode 1,0.6062,-0.08,5,0.26760779345638286,0.2805666169931961,0.3389996845930751
g4,Current,Mode 4,1.1211,-0.3373,2,0.40283467051377897,0.40283467051377897,0.40283467051377897
g4,Reactive Power,Mode 1,0.6062,-0.08,4,0.25834273952188963,0.25834273952188963,0.25834273952188963
g4,Voltage,Mode 1,0.6062,-0.08,5,0.25764956522095633,0.2680441985045512,0.31370058326566247
g5,Active Power,Mode 1,0.6062,-0.08,5,0.30352341520148246,0.3047232606650856,0.3656514081109966
g5,Active Power,Mode 4,1.1211,-0.3373,2,0.42971787669026607,0.42971787669026607,0.44000193156941736
g5,Current,Mode 1,0.6062,-0.08,5,0.30843540694504895,0.29182648396801947,0.3304747992703426
g5,Current,Mode 4,1.1211,-0.3373,2,0.4417451303941516,0.4417451303941516,0.45331696320897225
g5,Reactive Power,Mode 1,0.6062,-0.08,10,0.5353572780571062,0.46259369163674463,0.6563796162010183
g5,Reactive Power,Mode 4,1.1211,-0.3373,1,0.17422094803659782,0.17422094803659782,0.17422094803659782
g5,Voltage,Mode 1,0.6062,-0.08,13,0.37124250002603365,0.45629514287920137,0.7706973947990428
g5,Voltage,Mode 4,1.1211,-0.3373,1,0.14460591355699606,0.14460591355699606,0.14460591355699606
g6,Active Power,Mode 1,0.6062,-0.08,5,0.27494776165089596,0.29312155211776003,0.34916473043312213
g6,Active Power,Mode 4,1.1211,-0.3373,2,0.39199666999884886,0.39199666999884886,0.41366732099425135
g6,Current,Mode 1,0.6062,-0.08,5,0.282285910004852,0.28382036596870297,0.3366154021517578
g6,Current,Mode 4,1.1211,-0.3373,2,0.3921320458447867,0.3921320458447867,0.3921320458447867
g6,Reactive Power,Mode 1,0.6062,-0.08,2,0.26128899810468753,0.26128899810468753,0.26435858246808563
g6,Voltage,Mode 1,0.6062,-0.08,5,0.24903961505136682,0.2999066501153535,0.5051917779476631
g7,Active Power,Mode 1,0.6062,-0.08,5,0.30917168145116813,0.30920572853426304,0.3611005660796351
g7,Active Power,Mode 4,1.1211,-0.3373,2,0.4199928408851317,0.4199928408851317,0.4582962856336487
g7,Current,Mode 1,0.6062,-0.08,5,0.27240210614964455,0.2791895702616223,0.323756026773895
g7,Current,Mode 4,1.1211,-0.3373,2,0.40640462209107076,0.40640462209107076,0.40640462209107076
g7,Reactive Power,Mode 1,0.6062,-0.08,7,0.24542974522042138,0.2921003115213277,0.4925653494889895
g7,Reactive Power,Mode 4,1.1211,-0.3373,1,0.3606266584477232,0.3606266584477232,0.3606266584477232
g7,Voltage,Mode 1,0.6062,-0.08,7,0.2585743591879742,0.3095957969614499,0.5218355948488551
