Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.3184700084576605,0.3184700084576605,0.37124250002603365
Order 4,Mode 1,0.6062,-0.08,15,0.30352341520148246,0.33973513558559293,0.6893909744639989
Order 6,Mode 1,0.6062,-0.08,18,0.28602898936406673,0.32159973170137585,0.670043229449305
Tau 0.01,Mode 1,0.6062,-0.08,24,0.2583637113946825,0.34418806557170595,0.7706973947990428
Tau 0.01,Mode 4,1.1211,-0.3373,11,0.38168939613661473,0.35056769040979974,0.4301732975793309
Tau 0.1,Mode 1,0.6062,-0.08,18,0.2575551684763595,0.31459139400463654,0.6893909744639989
Tau 0.1,Mode 4,1.1211,-0.3373,8,0.410035971542661,0.41755638016778285,0.4582962856336487
Tau 1,Mode 1,0.6062,-0.08,16,0.3335451007110502,0.35017193140095265,0.6893909744639989
