Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,93,0.26578439466608844,0.33384593322089917,0.7706973947990428
Mode 4,1.1211,-0.3373,19,0.40283467051377897,0.3787734545184242,0.4582962856336487
