Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.45097955387519667,0.45097955387519667,0.5153243388904938
Order 4,Mode 1,0.6062,-0.08,11,0.3317868148732525,0.3727187467660793,0.5186395147649474
Order 4,Mode 2,0.9497,-0.1065,1,0.18941726334992304,0.18941726334992304,0.18941726334992304
Order 4,Mode 3,1.0312,-0.2558,1,0.31669978869241094,0.31669978869241094,0.31669978869241094
Order 6,Mode 1,0.6062,-0.08,19,0.251126576350744,0.32894893522128554,0.666360042278045
Order 6,Mode 3,1.0312,-0.2558,4,0.16376370133538987,0.170874665404015,0.2213783637318971
Tau 0.01,Mode 1,0.6062,-0.08,27,0.2734367912972419,0.38428558155621806,0.8414387027154161
Tau 0.01,Mode 3,1.0312,-0.2558,1,0.14203400063319188,0.14203400063319188,0.14203400063319188
Tau 0.01,Mode 4,1.1211,-0.3373,14,0.1706761236676716,0.1685594794747745,0.34687028740612286
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.2686532834385394,0.2686532834385394,0.2686532834385394
Tau 0.1,Mode 1,0.6062,-0.08,19,0.2701326069199668,0.34762036831554255,0.6186368308560904
Tau 0.1,Mode 3,1.0312,-0.2558,2,0.23074080997190446,0.23074080997190446,0.32688872473042574
Tau 0.1,Mode 4,1.1211,-0.3373,5,0.1720812922505596,0.1451121509234546,0.1856037611382392
Tau 1,Mode 1,0.6062,-0.08,6,0.3208811644040569,0.360322972627392,0.520706619281015
Tau 1,Mode 3,1.0312,-0.2558,1,0.32688872473042574,0.32688872473042574,0.32688872473042574
