Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,84,0.2714879334899989,0.35667353271596347,0.7679931170523
Mode 2,0.9497,-0.1065,1,0.20953710389979824,0.20953710389979824,0.20953710389979824
Mode 3,1.0312,-0.2558,5,0.24429886926279876,0.24851948824793307,0.34197164952488435
Mode 4,1.1211,-0.3373,23,0.1826368204298839,0.17659555935623758,0.3297648771698991
Mode 7,1.4953,-0.7033,1,0.2770531274951351,0.2770531274951351,0.2770531274951351
