"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
1.250000,1.032910,0.769856,176.562612,693.551345
1.260000,1.033016,0.769795,176.401953,693.609493
1.270000,1.033118,0.769756,176.253727,693.681982
1.280000,1.033215,0.769737,176.118041,693.768325
1.290000,1.033309,0.769739,175.994979,693.867991
1.300000,1.033397,0.769761,175.884603,693.980417
1.310000,1.033482,0.769802,175.786955,694.105000
1.320000,1.033561,0.769862,175.702054,694.241112
1.330000,1.033636,0.769941,175.629901,694.388093
1.340000,1.033707,0.770036,175.570473,694.545260
1.350000,1.033772,0.770149,175.523729,694.711909
1.360000,1.033833,0.770277,175.489611,694.887319
1.370000,1.033890,0.770420,175.468037,695.070751
1.380000,1.033941,0.770578,175.458912,695.261459
1.390000,1.033988,0.770750,175.462121,695.458685
1.400000,1.034030,0.770934,175.477531,695.661669
1.410000,1.034067,0.771130,175.504994,695.869649
1.420000,1.034099,0.771338,175.544348,696.081864
1.430000,1.034127,0.771555,175.595413,696.297556
1.440000,1.034149,0.771783,175.657997,696.515979
1.450000,1.034167,0.772018,175.731894,696.736393
1.460000,1.034180,0.772262,175.816887,696.958074
1.470000,1.034188,0.772513,175.912744,697.180313
1.480000,1.034192,0.772769,176.019225,697.402419
1.490000,1.034190,0.773032,176.136078,697.623724
1.500000,1.034184,0.773299,176.263043,697.843580
1.510000,1.034173,0.773570,176.399848,698.061368
1.520000,1.034158,0.773844,176.546218,698.276492
1.530000,1.034138,0.774121,176.701867,698.488388
1.540000,1.034113,0.774399,176.866504,698.696521
1.550000,1.034083,0.774680,177.039831,698.900389
1.560000,1.034050,0.774960,177.221546,699.099523
1.570000,1.034011,0.775241,177.411343,699.293488
1.580000,1.033968,0.775522,177.608910,699.481883
1.590000,1.033921,0.775801,177.813935,699.664347
1.600000,1.033870,0.776080,178.026099,699.840550
1.610000,1.033814,0.776356,178.245086,700.010203
1.620000,1.033754,0.776631,178.470574,700.173053
1.630000,1.033691,0.776902,178.702244,700.328884
1.640000,1.033623,0.777172,178.939771,700.477517
1.650000,1.033551,0.777437,179.182836,700.618809
1.660000,1.033475,0.777700,179.431116,700.752655
1.670000,1.033395,0.777959,179.684291,700.878984
1.680000,1.033312,0.778214,179.942039,700.997761
1.690000,1.033225,0.778466,180.204043,701.108985
1.700000,1.033134,0.778713,180.469985,701.212688
1.710000,1.033040,0.778957,180.739550,701.308933
1.720000,1.032943,0.779196,181.012425,701.397816
1.730000,1.032843,0.779431,181.288297,701.479459
1.740000,1.032739,0.779662,181.566860,701.554014
1.750000,1.032632,0.779889,181.847806,701.621660
1.760000,1.032523,0.780111,182.130834,701.682598
1.770000,1.032410,0.780330,182.415641,701.737054
1.780000,1.032295,0.780545,182.701932,701.785275
1.790000,1.032178,0.780756,182.989411,701.827525
1.800000,1.032057,0.780963,183.277789,701.864089
1.810000,1.031935,0.781167,183.566776,701.895264
1.820000,1.031810,0.781368,183.856089,701.921362
1.830000,1.031684,0.781565,184.145445,701.942708
1.840000,1.031555,0.781759,184.434568,701.959634
1.850000,1.031425,0.781950,184.723181,701.972479
