"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
0.000000,1.030000,0.798794,176.523596,719.133173
0.010000,1.024368,0.834281,189.834794,745.354835
0.020000,1.024235,0.834375,189.744705,745.363870
0.030000,1.024149,0.834466,189.691031,745.398088
0.040000,1.024095,0.834548,189.666308,745.440292
0.050000,1.024062,0.834614,189.664784,745.477963
0.060000,1.024041,0.834661,189.682020,745.501863
0.070000,1.024028,0.834684,189.714584,745.505037
0.080000,1.024018,0.834680,189.759817,745.482117
0.090000,1.024008,0.834647,189.815640,745.428830
0.100000,1.023997,0.834581,189.880420,745.341655
0.110000,1.029660,0.797630,176.714753,717.723540
0.120000,1.029765,0.797309,176.896224,717.451384
0.130000,1.029822,0.796943,177.039259,717.108008
0.140000,1.029843,0.796539,177.152450,716.709934
0.150000,1.029840,0.796102,177.242180,716.268938
0.160000,1.029821,0.795638,177.313180,715.793448
0.170000,1.029791,0.795148,177.369020,715.289487
0.180000,1.029753,0.794635,177.412269,714.761508
0.190000,1.029711,0.794102,177.444709,714.212954
0.200000,1.029666,0.793549,177.467668,713.646507
0.210000,1.029621,0.792978,177.482120,713.064361
0.220000,1.029575,0.792391,177.488779,712.468398
0.230000,1.029530,0.791789,177.488169,711.860321
0.240000,1.029485,0.791173,177.480690,711.241731
0.250000,1.029443,0.790545,177.466652,710.614187
0.260000,1.029401,0.789907,177.446311,709.979243
0.270000,1.029361,0.789260,177.419891,709.338472
0.280000,1.029323,0.788605,177.387600,708.693477
0.290000,1.029287,0.787945,177.349642,708.045902
0.300000,1.029252,0.787281,177.306225,707.397430
0.310000,1.029220,0.786615,177.257568,706.749784
0.320000,1.029189,0.785949,177.203905,706.104722
0.330000,1.029159,0.785285,177.145478,705.464032
0.340000,1.029132,0.784625,177.082530,704.829513
0.350000,1.029106,0.783971,177.015333,704.202992
0.360000,1.029081,0.783326,176.944200,703.586321
0.370000,1.029058,0.782690,176.869464,702.981352
0.380000,1.029036,0.782067,176.791461,702.389927
0.390000,1.029016,0.781458,176.710543,701.813872
0.400000,1.028997,0.780865,176.627072,701.254996
0.410000,1.028979,0.780290,176.541421,700.715077
