Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g1,Voltage,Order 2,0.5391644320777794,-0.10287880619747254,0.002405320732872569,1.8293275700085792
g1,Voltage,Order 4,0.5441675766326095,-0.10071532371355449,0.002393922922919186,1.6930934746376096
g1,Voltage,Order 4,0.01451486967142777,-0.023940470828817027,6.706135020210356e-05,-1.2425225135975642
g1,Voltage,Order 6,0.5434596369464382,-0.16403733053426653,0.003086705021440691,1.683379477395821
g1,Voltage,Order 6,0.43201532841539086,-1.3203703409925223,0.0005327128112798285,-2.2241403233619237
g1,Voltage,Order 6,1.335699768247658e-20,0.025950165367955663,4.3642610504966134e-05,3.141592653589762
g1,Voltage,Tau 1,0.5391644320777794,-0.10287880619747254,0.002405320732872569,1.8293275700085792
g1,Voltage,Tau 0.1,0.5472231886810925,-0.17214693125759034,0.003088738369576062,1.6230409150080027
g1,Voltage,Tau 0.1,6.405072284653681e-21,-0.07920534768197766,0.00025331780294916926,-2.482404523963817e-14
g1,Voltage,Tau 0.01,0.5472231886810925,-0.17214693125759034,0.003088738369576062,1.6230409150080027
g1,Voltage,Tau 0.01,6.405072284653681e-21,-0.07920534768197766,0.00025331780294916926,-2.482404523963817e-14
g1,Current,Order 2,0.5405708879063281,-0.16340291848148492,0.006095920957805944,-1.0874677252128373
g1,Current,Order 4,1.038818855596574,-0.7976456317887185,0.0032453163460927996,2.6114337970247816
g1,Current,Order 4,0.5486869023858683,-0.12687030777116978,0.005461848332455622,-1.226734964461071
g1,Current,Order 6,1.0387936711079646,-0.7864576692022546,0.0033282745234357635,2.737726988971943
g1,Current,Order 6,0.546715474559259,-0.08845443808933963,0.004511455910019128,-1.1915036680355555
g1,Current,Tau 1,1.038818855596574,-0.7976456317887185,0.0032453163460927996,2.6114337970247816
g1,Current,Tau 1,0.5486869023858683,-0.12687030777116978,0.005461848332455622,-1.226734964461071
g1,Current,Tau 0.1,1.0410983865366825,-0.7823392771384808,0.0035840776298281247,2.539989694633853
