"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
0.000000,1.009792,0.801665,201.999958,699.999966
0.010000,1.003052,0.858573,215.015739,744.653270
0.020000,1.003017,0.857429,215.198317,743.496811
0.030000,1.003018,0.856369,215.410719,742.439930
0.040000,1.003039,0.855349,215.637998,741.431726
0.050000,1.003070,0.854335,215.870460,740.435958
0.060000,1.003105,0.853305,216.101970,739.427081
0.070000,1.003138,0.852241,216.328791,738.387358
0.080000,1.003167,0.851135,216.548782,737.304778
0.090000,1.003189,0.849978,216.760854,736.171532
0.100000,1.003203,0.848768,216.964605,734.982905
0.110000,1.009905,0.788515,204.428014,686.919318
0.120000,1.009912,0.788278,204.421865,686.700864
0.130000,1.009877,0.787886,204.373555,686.318263
0.140000,1.009813,0.787395,204.299743,685.826969
0.150000,1.009731,0.786841,204.211483,685.267872
0.160000,1.009637,0.786256,204.115954,684.671169
0.170000,1.009535,0.785658,204.017547,684.059098
0.180000,1.009429,0.785065,203.919050,683.448236
0.190000,1.009321,0.784489,203.822309,682.851001
0.200000,1.009213,0.783937,203.728326,682.276542
0.210000,1.009106,0.783417,203.637600,681.731604
0.220000,1.009000,0.782933,203.550336,681.221133
0.230000,1.008897,0.782488,203.466567,680.748705
0.240000,1.008796,0.782086,203.386231,680.316843
0.250000,1.008697,0.781727,203.309226,679.927251
0.260000,1.008602,0.781412,203.235435,679.580987
0.270000,1.008510,0.781142,203.164749,679.278593
0.280000,1.008421,0.780916,203.097072,679.020195
0.290000,1.008335,0.780736,203.032329,678.805571
0.300000,1.008253,0.780599,202.970462,678.634216
0.310000,1.008174,0.780505,202.911431,678.505382
0.320000,1.008099,0.780453,202.855210,678.418116
0.330000,1.008028,0.780443,202.801788,678.371287
0.340000,1.007960,0.780471,202.751175,678.363608
0.350000,1.007896,0.780537,202.703376,678.393661
0.360000,1.007835,0.780640,202.658385,678.459922
0.370000,1.007778,0.780777,202.616197,678.560774
0.380000,1.007725,0.780947,202.576807,678.694519
0.390000,1.007676,0.781148,202.540209,678.859393
0.400000,1.007631,0.781378,202.506388,679.053574
0.410000,1.007589,0.781634,202.475326,679.275202
0.420000,1.007551,0.781916,202.446996,679.522385
0.430000,1.007517,0.782221,202.421361,679.793211
0.440000,1.007486,0.782547,202.398376,680.085759
0.450000,1.007459,0.782892,202.377987,680.398113
0.460000,1.007436,0.783253,202.360129,680.728364
0.470000,1.007416,0.783630,202.344730,681.074625
0.480000,1.007399,0.784020,202.331707,681.435040
0.490000,1.007386,0.784421,202.320967,681.807788
0.500000,1.007377,0.784831,202.312411,682.191094
0.510000,1.007370,0.785248,202.305930,682.583238
0.520000,1.007367,0.785672,202.301409,682.982556
0.530000,1.007367,0.786099,202.298726,683.387452
0.540000,1.007370,0.786529,202.297751,683.796404
0.550000,1.007376,0.786960,202.298350,684.207962
0.560000,1.007385,0.787390,202.300386,684.620762
0.570000,1.007396,0.787819,202.303716,685.033526
0.580000,1.007411,0.788245,202.308195,685.445063
0.590000,1.007427,0.788666,202.313676,685.854276
0.600000,1.007446,0.789082,202.320010,686.260166
0.610000,1.007468,0.789493,202.327050,686.661827
0.620000,1.007492,0.789896,202.334645,687.058454
0.630000,1.007518,0.790292,202.342650,687.449342
0.640000,1.007546,0.790679,202.350918,687.833885
0.650000,1.007575,0.791058,202.359307,688.211577
0.660000,1.007607,0.791427,202.367677,688.582011
0.670000,1.007641,0.791788,202.375894,688.944878
0.680000,1.007676,0.792138,202.383827,689.299965
0.690000,1.007713,0.792479,202.391349,689.647154
0.700000,1.007751,0.792810,202.398342,689.986416
0.710000,1.007790,0.793131,202.404691,690.317813
0.720000,1.007831,0.793444,202.410289,690.641491
0.730000,1.007873,0.793746,202.415037,690.957677
0.740000,1.007916,0.794041,202.418842,691.266674
0.750000,1.007960,0.794326,202.421618,691.568859
0.760000,1.008005,0.794604,202.423290,691.864676
0.770000,1.008051,0.794875,202.423787,692.154633
0.780000,1.008098,0.795139,202.423050,692.439293
0.790000,1.008145,0.795397,202.421025,692.719272
0.800000,1.008194,0.795650,202.417669,692.995233
0.810000,1.008242,0.795899,202.412947,693.267877
0.820000,1.008292,0.796144,202.406830,693.537941
0.830000,1.008341,0.796386,202.399301,693.806189
0.840000,1.008392,0.796626,202.390349,694.073409
0.850000,1.008442,0.796865,202.379972,694.340403
0.860000,1.008493,0.797104,202.368176,694.607981
0.870000,1.008545,0.797344,202.354973,694.876961
0.880000,1.008597,0.797585,202.340386,695.148153
0.890000,1.008649,0.797829,202.324443,695.422363
0.900000,1.008701,0.798077,202.307180,695.700379
0.910000,1.008753,0.798328,202.288646,695.982967
0.920000,1.008806,0.798585,202.268909,696.270859
0.930000,1.008859,0.798848,202.248031,696.564760
0.940000,1.008912,0.799117,202.226060,696.865346
0.950000,1.008965,0.799393,202.203057,697.173252
0.960000,1.009018,0.799678,202.179093,697.489067
0.970000,1.009072,0.799971,202.154244,697.813326
0.980000,1.009125,0.800273,202.128589,698.146512
0.990000,1.009179,0.800585,202.102215,698.489047
1.000000,1.009233,0.800906,202.075209,698.841291
1.010000,1.009287,0.801238,202.047663,699.203540
1.020000,1.009341,0.801580,202.019674,699.576021
1.030000,1.009395,0.801934,201.991334,699.958885
1.040000,1.009450,0.802298,201.962718,700.352202
1.050000,1.009504,0.802673,201.933890,700.755960
1.060000,1.009558,0.803058,201.904931,701.170088
1.070000,1.009613,0.803455,201.875944,701.594448
1.080000,1.009668,0.803862,201.847054,702.028840
1.090000,1.009722,0.804280,201.818382,702.472981
1.100000,1.009777,0.804707,201.790038,702.926500
1.110000,1.009832,0.805144,201.762127,703.388953
1.120000,1.009887,0.805590,201.734754,703.859818
1.130000,1.009942,0.806044,201.708018,704.338502
1.140000,1.009997,0.806506,201.682016,704.824341
1.150000,1.010052,0.806975,201.656842,705.316601
1.160000,1.010107,0.807451,201.632587,705.814482
1.170000,1.010162,0.807931,201.609336,706.317121
1.180000,1.010216,0.808417,201.587183,706.823591
1.190000,1.010271,0.808905,201.566254,707.332891
1.200000,1.010326,0.809396,201.546645,707.843966
1.210000,1.010380,0.809888,201.528395,708.355738
1.220000,1.010435,0.810380,201.511545,708.867093
1.230000,1.010489,0.810872,201.496144,709.376872
1.240000,1.010542,0.811361,201.482239,709.883882
1.250000,1.010596,0.811846,201.469874,710.386897
1.260000,1.010649,0.812327,201.459086,710.884667
1.270000,1.010702,0.812801,201.449908,711.375921
1.280000,1.010754,0.813268,201.442368,711.859373
1.290000,1.010805,0.813727,201.436488,712.333726
1.300000,1.010856,0.814175,201.432285,712.797681
1.310000,1.010907,0.814612,201.429768,713.249937
1.320000,1.010957,0.815037,201.428943,713.689201
1.330000,1.011006,0.815447,201.429809,714.114194
1.340000,1.011054,0.815842,201.432359,714.523651
1.350000,1.011101,0.816220,201.436581,714.916331
1.360000,1.011147,0.816581,201.442456,715.291020
1.370000,1.011192,0.816923,201.449961,715.646538
1.380000,1.011236,0.817245,201.459066,715.981743
1.390000,1.011279,0.817545,201.469739,716.295534
1.400000,1.011321,0.817823,201.481940,716.586857
1.410000,1.011361,0.818078,201.495624,716.854712
1.420000,1.011400,0.818308,201.510744,717.098151
1.430000,1.011437,0.818514,201.527248,717.316289
1.440000,1.011473,0.818693,201.545078,717.508303
1.450000,1.011507,0.818846,201.564175,717.673435
1.460000,1.011540,0.818971,201.584474,717.810999
1.470000,1.011571,0.819068,201.605910,717.920381
1.480000,1.011600,0.819137,201.628413,718.001041
1.490000,1.011627,0.819176,201.651912,718.052518
1.500000,1.011652,0.819186,201.676332,718.074429
1.510000,1.011675,0.819167,201.701598,718.066472
1.520000,1.011695,0.819117,201.727632,718.028427
1.530000,1.011714,0.819038,201.754357,717.960158
1.540000,1.011731,0.818929,201.781694,717.861610
1.550000,1.011745,0.818789,201.809563,717.732814
1.560000,1.011757,0.818620,201.837884,717.573882
1.570000,1.011766,0.818421,201.866579,717.385012
1.580000,1.011773,0.818193,201.895569,717.166483
1.590000,1.011778,0.817936,201.924775,716.918654
1.600000,1.011780,0.817651,201.954120,716.641966
1.610000,1.011780,0.817337,201.983528,716.336936
1.620000,1.011777,0.816997,202.012926,716.004157
1.630000,1.011771,0.816630,202.042241,715.644298
1.640000,1.011763,0.816237,202.071403,715.258098
1.650000,1.011752,0.815819,202.100343,714.846362
1.660000,1.011739,0.815377,202.128997,714.409965
1.670000,1.011723,0.814912,202.157300,713.949838
1.680000,1.011704,0.814425,202.185194,713.466976
1.690000,1.011683,0.813917,202.212621,712.962426
1.700000,1.011659,0.813390,202.239527,712.437285
1.710000,1.011633,0.812844,202.265861,711.892699
1.720000,1.011604,0.812280,202.291577,711.329856
1.730000,1.011573,0.811700,202.316629,710.749981
1.740000,1.011539,0.811105,202.340979,710.154335
1.750000,1.011502,0.810497,202.364588,709.544206
1.760000,1.011463,0.809877,202.387423,708.920911
1.770000,1.011422,0.809245,202.409455,708.285784
1.780000,1.011379,0.808605,202.430658,707.640175
1.790000,1.011333,0.807956,202.451009,706.985448
1.800000,1.011285,0.807300,202.470490,706.322973
1.810000,1.011235,0.806640,202.489085,705.654120
1.820000,1.011183,0.805975,202.506782,704.980260
1.830000,1.011129,0.805307,202.523573,704.302757
1.840000,1.011073,0.804639,202.539453,703.622963
1.850000,1.011015,0.803970,202.554420,702.942218
1.860000,1.010956,0.803303,202.568475,702.261842
1.870000,1.010895,0.802639,202.581623,701.583132
1.880000,1.010832,0.801979,202.593870,700.907360
1.890000,1.010768,0.801324,202.605239,700.235762
1.900000,1.010703,0.800675,202.615776,699.569532
1.910000,1.010637,0.800034,202.625515,698.909826
1.920000,1.010569,0.799402,202.634456,698.257776
1.930000,1.010501,0.798779,202.642600,697.614484
1.940000,1.010431,0.798167,202.649960,696.981004
1.950000,1.010361,0.797567,202.656554,696.358345
1.960000,1.010291,0.796980,202.662402,695.747465
1.970000,1.010219,0.796406,202.667527,695.149276
1.980000,1.010148,0.795846,202.671952,694.564636
1.990000,1.010076,0.795302,202.675703,693.994350
2.000000,1.010004,0.794773,202.678806,693.439171
2.010000,1.009932,0.794261,202.681288,692.899797
2.020000,1.009860,0.793766,202.683177,692.376872
2.030000,1.009788,0.793289,202.684499,691.870984
2.040000,1.009716,0.792830,202.685249,691.382647
2.050000,1.009645,0.792389,202.685377,690.912294
2.060000,1.009574,0.791967,202.684870,690.460338
2.070000,1.009504,0.791564,202.683792,690.027186
2.080000,1.009435,0.791181,202.682214,689.613186
2.090000,1.009366,0.790817,202.680177,689.218610
2.100000,1.009299,0.790474,202.677715,688.843677
2.110000,1.009232,0.790150,202.674859,688.488554
2.120000,1.009167,0.789846,202.671636,688.153359
2.130000,1.009102,0.789562,202.668070,687.838165
2.140000,1.009039,0.789299,202.664184,687.542997
2.150000,1.008978,0.789055,202.659998,687.267841
2.160000,1.008918,0.788831,202.655529,687.012639
2.170000,1.008859,0.788626,202.650792,686.777295
2.180000,1.008803,0.788442,202.645802,686.561676
2.190000,1.008748,0.788276,202.640569,686.365615
2.200000,1.008694,0.788129,202.635103,686.188913
2.210000,1.008643,0.788001,202.629412,686.031339
2.220000,1.008593,0.787891,202.623500,685.892638
2.230000,1.008546,0.787800,202.617373,685.772527
2.240000,1.008500,0.787726,202.611034,685.670699
2.250000,1.008457,0.787669,202.604489,685.586827
2.260000,1.008415,0.787629,202.597744,685.520562
2.270000,1.008376,0.787606,202.590799,685.471541
2.280000,1.008339,0.787599,202.583646,685.439391
2.290000,1.008304,0.787607,202.576276,685.423729
2.300000,1.008271,0.787631,202.568683,685.424160
2.310000,1.008241,0.787669,202.560860,685.440284
2.320000,1.008213,0.787722,202.552797,685.471695
2.330000,1.008187,0.787789,202.544487,685.517982
2.340000,1.008163,0.787869,202.535922,685.578734
2.350000,1.008142,0.787962,202.527093,685.653539
2.360000,1.008123,0.788067,202.517991,685.741988
2.370000,1.008106,0.788185,202.508607,685.843673
2.380000,1.008091,0.788314,202.498934,685.958192
2.390000,1.008079,0.788455,202.488962,686.085151
2.400000,1.008069,0.788606,202.478684,686.224158
2.410000,1.008061,0.788768,202.468092,686.374834
2.420000,1.008056,0.788940,202.457181,686.536806
2.430000,1.008053,0.789122,202.445944,686.709714
2.440000,1.008052,0.789314,202.434376,686.893205
2.450000,1.008053,0.789514,202.422474,687.086940
2.460000,1.008056,0.789723,202.410234,687.290590
2.470000,1.008061,0.789940,202.397656,687.503839
2.480000,1.008068,0.790166,202.384739,687.726382
2.490000,1.008078,0.790399,202.371485,687.957928
2.500000,1.008089,0.790640,202.357895,688.198196
2.510000,1.008102,0.790889,202.343974,688.446919
2.520000,1.008117,0.791144,202.329727,688.703840
2.530000,1.008135,0.791406,202.315162,688.968717
2.540000,1.008153,0.791675,202.300287,689.241314
