k,kmeans_silhouette,kmedoids_silhouette,kmeans_selected_by_silhouette,kmedoids_selected_by_silhouette
2,0.5481448660589006,0.503128007580742,False,False
3,0.5674001073468264,0.5752227534237108,False,False
4,0.6421874643397447,0.6494881722160164,False,False
5,0.6568887559027597,0.6587802348051227,False,True
6,0.6620492529819286,0.6577693873811332,False,False
7,0.6675888605008998,0.6434134137998774,True,False
8,0.6645791500796179,0.5447393712033602,False,False
9,0.5988789898644112,0.530642982316868,False,False
10,0.6072058453830372,0.40547564768460964,False,False
