Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.3715602110847148,0.3715602110847148,0.5205439844425538
Order 4,Mode 1,0.6062,-0.08,11,0.37484301793216923,0.3816252529378492,0.498985785703665
Order 4,Mode 2,0.9497,-0.1065,1,0.2095371038998381,0.2095371038998381,0.2095371038998381
Order 4,Mode 3,1.0312,-0.2558,1,0.24989347399410383,0.24989347399410383,0.24989347399410383
Order 6,Mode 1,0.6062,-0.08,19,0.26446516593629227,0.3333450657575479,0.6717580118268354
Order 6,Mode 3,1.0312,-0.2558,3,0.21650084521625043,0.21691077257381017,0.24429886926275945
Order 6,Mode 4,1.1211,-0.3373,1,0.17288378499777207,0.17288378499777207,0.17288378499777207
Tau 0.01,Mode 1,0.6062,-0.08,26,0.2704668049150678,0.37284616318061126,0.7516834875838705
Tau 0.01,Mode 4,1.1211,-0.3373,15,0.19601559506782096,0.17662643303884812,0.3297648771699233
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.27705312749540073,0.27705312749540073,0.27705312749540073
Tau 0.1,Mode 1,0.6062,-0.08,20,0.2674306782795777,0.34811010260300723,0.7679931170538514
Tau 0.1,Mode 4,1.1211,-0.3373,7,0.18149893331602282,0.17705965494492393,0.2171705124519231
Tau 1,Mode 1,0.6062,-0.08,6,0.25771805874285997,0.3383033332516952,0.5276870423102432
Tau 1,Mode 3,1.0312,-0.2558,1,0.3419716495249067,0.3419716495249067,0.3419716495249067
