Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,84,0.2805025368698615,0.35659184409596845,0.7440953004340385
Mode 2,0.9497,-0.1065,1,0.21303191099771343,0.21303191099771343,0.21303191099771343
Mode 3,1.0312,-0.2558,6,0.27445732415544766,0.2843881869995077,0.41298231666153756
Mode 4,1.1211,-0.3373,21,0.1882775091588317,0.17983554299848656,0.3380430059812264
Mode 7,1.4953,-0.7033,1,0.2739522031670752,0.2739522031670752,0.2739522031670752
