Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.3812122813274694,0.3812122813274694,0.4541414344620868
Order 4,Mode 1,0.6062,-0.08,8,0.292950641389499,0.33478017571645796,0.4851556329428412
Order 4,Mode 3,1.0312,-0.2558,1,0.40200324070672255,0.40200324070672255,0.40200324070672255
Order 4,Mode 4,1.1211,-0.3373,1,0.22397020576887394,0.22397020576887394,0.22397020576887394
Order 6,Mode 1,0.6062,-0.08,19,0.26030020804766046,0.30009390302987127,0.6236775980394212
Order 6,Mode 3,1.0312,-0.2558,2,0.12559697067178116,0.12559697067178116,0.14873105182705462
Order 6,Mode 4,1.1211,-0.3373,2,0.2661598302752446,0.2661598302752446,0.34543838672433763
Tau 0.01,Mode 1,0.6062,-0.08,29,0.28417771859817015,0.4275211030759075,1.0271776806318382
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.09095884009840281,0.09031794333843979,0.0909748576573692
Tau 0.01,Mode 4,1.1211,-0.3373,14,0.20559178054687854,0.22676046730579683,0.814693902668806
Tau 0.01,Mode 7,1.4953,-0.7033,2,0.19780056045934824,0.19780056045934824,0.20879043400987898
Tau 0.1,Mode 1,0.6062,-0.08,21,0.2555277558587612,0.3308069556582384,0.6733334772856621
Tau 0.1,Mode 4,1.1211,-0.3373,8,0.19280571643665145,0.1715446907670631,0.26368906989835206
Tau 1,Mode 1,0.6062,-0.08,12,0.26553604903647865,0.343374141401473,0.6236775980394212
Tau 1,Mode 3,1.0312,-0.2558,1,0.10854443204477854,0.10854443204477854,0.10854443204477854
Tau 1,Mode 4,1.1211,-0.3373,1,0.4439486178243947,0.4439486178243947,0.4439486178243947
