Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,1,0.3342923154720683,0.3342923154720683,0.3342923154720683
Order 4,Mode 1,0.6062,-0.08,7,0.42161347297071794,0.3939911251264349,0.6484637885406848
Order 6,Mode 1,0.6062,-0.08,9,0.2885159682858571,0.2939302810469073,0.5225648641565441
Tau 0.01,Mode 1,0.6062,-0.08,9,0.25641893602080856,0.26806711156181995,0.4625370814801903
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.07693365525998505,0.07753097240688674,0.08220017971215135
Tau 0.01,Mode 4,1.1211,-0.3373,5,0.17542335351633243,0.17131301228012846,0.17671567450050313
Tau 0.1,Mode 1,0.6062,-0.08,9,0.25641893602080856,0.2686133126358501,0.4625370814801903
Tau 0.1,Mode 3,1.0312,-0.2558,2,0.11872870523048851,0.11872870523048851,0.16399832821245316
Tau 0.1,Mode 4,1.1211,-0.3373,3,0.17649530389456639,0.18020779499481274,0.194499293662941
Tau 1,Mode 1,0.6062,-0.08,6,0.3290774990934474,0.3245776579637528,0.4268595038029018
