Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,42,0.2594287368042868,0.32787465424371803,0.6413602204297743
Mode 3,1.0312,-0.2558,5,0.08534730792005668,0.08375289416790051,0.09600463339912574
Mode 4,1.1211,-0.3373,8,0.17271232505368533,0.15946079848676548,0.19517783208951187
