Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g2,Active Power,Mode 1,0.6062,-0.08,4,0.40353880054523805,0.3965089673514421,0.5209637665400482
g2,Active Power,Mode 3,1.0312,-0.2558,1,0.09600463339912574,0.09600463339912574,0.09600463339912574
g2,Active Power,Mode 4,1.1211,-0.3373,1,0.1719028059698596,0.1719028059698596,0.1719028059698596
g2,Current,Mode 1,0.6062,-0.08,4,0.2988587270970381,0.3226234224115605,0.438743133163672
g2,Current,Mode 3,1.0312,-0.2558,1,0.08534730792005668,0.08534730792005668,0.08534730792005668
g2,Current,Mode 4,1.1211,-0.3373,2,0.1698713259460206,0.1698713259460206,0.1735218441375111
g2,Reactive Power,Mode 1,0.6062,-0.08,3,0.2226527513806879,0.21962260405255052,0.2226527513806879
g2,Voltage,Mode 1,0.6062,-0.08,9,0.26495315091727994,0.41021746141653537,0.6413602204297743
g2,Voltage,Mode 4,1.1211,-0.3373,2,0.12092041769465553,0.12092041769465553,0.19517783208951187
g3,Active Power,Mode 1,0.6062,-0.08,5,0.3713309517642792,0.35781686759636716,0.4357478078979649
g3,Active Power,Mode 3,1.0312,-0.2558,1,0.09109010086399481,0.09109010086399481,0.09109010086399481
g3,Active Power,Mode 4,1.1211,-0.3373,1,0.17493984858043607,0.17493984858043607,0.17493984858043607
g3,Current,Mode 1,0.6062,-0.08,5,0.2593340015835285,0.2809932065707121,0.3314718605961188
g3,Current,Mode 3,1.0312,-0.2558,1,0.08164146375680625,0.08164146375680625,0.08164146375680625
g3,Current,Mode 4,1.1211,-0.3373,2,0.17363012303123795,0.17363012303123795,0.17844326437004787
g3,Reactive Power,Mode 1,0.6062,-0.08,5,0.2416247334807046,0.27104773616386385,0.4120159904475901
g3,Voltage,Mode 1,0.6062,-0.08,7,0.2537587860883435,0.28487027180328,0.4701153839735326
g3,Voltage,Mode 3,1.0312,-0.2558,1,0.06468096489951905,0.06468096489951905,0.06468096489951905
