Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Mode 1,0.6062,-0.08,42,0.2844798282987021,0.33946918758050787,0.7382430017711966
Mode 3,1.0312,-0.2558,4,0.10773352227667429,0.19837364774534794,0.5114203883939322
Mode 4,1.1211,-0.3373,8,0.17942253304064462,0.17576120250848598,0.20696778015555445
